author_name,title,authors,publication,cited_by_value,year
Andreas G. Schilling,3D modeling of indoor environments by a mobile robot with a laser scanner and panoramic camera,"P Biber, H Andreasson, T Duckett, A Schilling","2004 IEEE/RSJ International Conference on Intelligent Robots and Systems …, 2004",216,2004
Andreas G. Schilling,Creating cinematic wide gamut HDR-video for the evaluation of tone mapping operators and HDR-displays,"J Froehlich, S Grandinetti, B Eberhardt, S Walter, A Schilling, H Brendel","Digital photography X 9023, 279-288, 2014",178,2014
Andreas G. Schilling,Efficient reconstruction of nonrigid shape and motion from real-time 3D scanner data,"M Wand, B Adams, M Ovsjanikov, A Berner, M Bokeloh, P Jenke, ...","ACM Transactions on Graphics (TOG) 28 (2), 1-15, 2009",174,2009
Andreas G. Schilling,Symmetry detection using feature lines,"M Bokeloh, A Berner, M Wand, HP Seidel, A Schilling","Computer Graphics Forum 28 (2), 697-706, 2009",171,2009
Andreas G. Schilling,Isometric registration of ambiguous and partial data,"A Tevs, M Bokeloh, M Wand, A Schilling, HP Seidel","2009 IEEE Conference on Computer Vision and Pattern Recognition, 1185-1192, 2009",144,2009
Andreas G. Schilling,Reconstruction of deforming geometry from time-varying point clouds,"M Wand, P Jenke, Q Huang, M Bokeloh, L Guibas, A Schilling","Symposium on Geometry processing, 49-58, 2007",142,2007
Andreas G. Schilling,Texram: A smart memory for texturing,"A Schilling, G Knittel, W Strasser","Computer Graphics and Applications, IEEE 16 (3), 32-41, 1996",139,1996
Andreas G. Schilling,Bayesian point cloud reconstruction,"P Jenke, M Wand, M Bokeloh, A Schilling, W Straßer","Computer graphics forum 25 (3), 379-388, 2006",136,2006
Andreas G. Schilling,A new simple and efficient antialiasing with subpixel masks,A Schilling,"Proceedings of the 18th annual conference on Computer graphics and …, 1991",118,1991
Andreas G. Schilling,Processing and interactive editing of huge point clouds from 3D scanners,"M Wand, A Berner, M Bokeloh, P Jenke, A Fleck, M Hoffmann, B Maier, ...","Computers & Graphics 32 (2), 204-220, 2008",102,2008
Andreas G. Schilling,Reconstruction and simplification of surfaces from contours,"R Klein, A Schilling, W Straßer","Graphical models 62 (6), 429-443, 2000",97,2000
Andreas G. Schilling,Hardware for superior texture performance,"G Knittel, A Schilling, A Kugler, W Straßer","Computers & Graphics 20 (4), 475-481, 1996",86,1996
Andreas G. Schilling,A graph-based approach to symmetry detection.,"A Berner, M Bokeloh, M Wand, A Schilling, HP Seidel","VG/PBG@ SIGGRAPH, 1-8, 2008",83,2008
Andreas G. Schilling,Integrating 3D time-of-flight camera data and high resolution images for 3DTV applications,"B Huhle, S Fleck, A Schilling","2007 3DTV Conference, 1-4, 2007",78,2007
