author_name,title,authors,publication,cited_by_value,year
Andreas Geiger,Are we ready for Autonomous Driving? The KITTI Vision Benchmark Suite,"A Geiger, P Lenz, R Urtasun","Computer Vision and Pattern Recognition (CVPR),(Providence, USA), 2012",12941,2012
Andreas Geiger,Vision meets robotics: The KITTI dataset,"A Geiger, P Lenz, C Stiller, R Urtasun","The International Journal of Robotics Research 32 (11), 1231-1237, 2013",8282,2013
Andreas Geiger,Object Scene Flow for Autonomous Vehicles,"M Menze, A Geiger","Proceedings of the IEEE Conference on Computer Vision and Pattern …, 2015",2164,2015
Andreas Geiger,Occupancy networks: Learning 3d reconstruction in function space,"L Mescheder, M Oechsle, M Niemeyer, S Nowozin, A Geiger","Proceedings of the IEEE/CVF Conference on Computer Vision and Pattern …, 2019",2162,2019
Andreas Geiger,Octnet: Learning deep 3d representations at high resolutions,"G Riegler, A Osman Ulusoy, A Geiger","Proceedings of the IEEE Conference on Computer Vision and Pattern …, 2017",1596,2017
Andreas Geiger,Which Training Methods for GANs do actually Converge?,"L Mescheder, A Geiger, S Nowozin","International Conference on Machine Learning, 3478-3487, 2018",1393,2018
Andreas Geiger,Stereoscan: Dense 3d reconstruction in real-time,"A Geiger, J Ziegler, C Stiller","Intelligent Vehicles Symposium (IV), 2011 IEEE, 963-968, 2011",1354,2011
Andreas Geiger,Efficient large-scale stereo matching,"A Geiger, M Roser, R Urtasun","Computer Vision–ACCV 2010, 25-38, 2011",1069,2011
Andreas Geiger,"Computer Vision for Autonomous Vehicles: Problems, Datasets and State of the Art","J Janai, F Güney, A Behl, A Geiger","Foundations and Trends® in Computer Graphics and Vision 12 (1–3), 1-308, 2020",876,2020
Andreas Geiger,Sparsity invariant cnns,"J Uhrig, N Schneider, L Schneider, U Franke, T Brox, A Geiger","2017 International Conference on 3D Vision (3DV), 11-20, 2017",826,2017
Andreas Geiger,A new performance measure and evaluation benchmark for road detection algorithms,"J Fritsch, T Kuehnl, A Geiger","16th International IEEE Conference on Intelligent Transportation Systems …, 2013",756,2013
Andreas Geiger,Differentiable volumetric rendering: Learning implicit 3d representations without 3d supervision,"M Niemeyer, L Mescheder, M Oechsle, A Geiger","Proceedings of the IEEE/CVF Conference on Computer Vision and Pattern …, 2020",743,2020
Andreas Geiger,Convolutional occupancy networks,"S Peng, M Niemeyer, L Mescheder, M Pollefeys, A Geiger","European Conference on Computer Vision, 523-540, 2020",698,2020
Andreas Geiger,Automatic camera and range sensor calibration using a single shot,"A Geiger, F Moosmann, Ö Car, B Schuster","2012 IEEE International Conference on Robotics and Automation, 3936-3943, 2012",672,2012
