author_name,title,authors,publication,cited_by_value,year
Andreas Zell,Simulation neuronaler netze,A Zell,"Addison-Wesley 1 (5.3), 1994",1386,1994
Andreas Zell,SNNS (stuttgart neural network simulator),"A Zell, N Mache, R Huebner, G Mamier, M Vogt, M Schmalzl, ...","Neural network simulation environments, 165-186, 1994",535,1994
Andreas Zell,"Automatic take off, tracking and landing of a miniature UAV on a moving carrier vehicle","KE Wenzel, A Masselli, A Zell","Journal of intelligent & robotic systems 61, 221-238, 2011",283,2011
Andreas Zell,Preanalytical aspects and sample quality assessment in metabolomics studies of human blood,"P Yin, A Peter, H Franken, X Zhao, SS Neukamm, L Rosenbaum, M Lucio, ...","Clinical chemistry 59 (5), 833-845, 2013",281,2013
Andreas Zell,"An onboard monocular vision system for autonomous takeoff, hovering and landing of a micro aerial vehicle","S Yang, SA Scherer, A Zell","Journal of Intelligent & Robotic Systems 69, 499-515, 2013",208,2013
Andreas Zell,Optimal assignment kernels for attributed molecular graphs,"H Fröhlich, JK Wegner, F Sieker, A Zell","Proceedings of the 22nd international conference on Machine learning, 225-232, 2005",206,2005
Andreas Zell,"SNNS: Stuttgart Neural Network Simulator. User Manual, Version 4.2","A Zell, G Mamier, M Vogt, N Mache, R Hübner, S Döring, KU Herrmann, ...","Institute for Parallel and Distributed High Performance Systems, Technical …, 1995",205,1995
Andreas Zell,Vibration-based terrain classification using support vector machines,"C Weiss, H Frohlich, A Zell","2006 IEEE/RSJ international conference on intelligent robots and systems …, 2006",201,2006
Andreas Zell,Locating biologically active compounds in medium-sized heterogeneous datasets by topological autocorrelation vectors: Dopamine and benzodiazepine agonists,"H Bauknecht, A Zell, H Bayer, P Levi, M Wagener, J Sadowski, ...","Journal of chemical information and computer sciences 36 (6), 1205-1213, 1996",190,1996
Andreas Zell,"Loss of mitochondrial peptidase Clpp leads to infertility, hearing loss plus growth retardation via accumulation of CLPX, mtDNA and inflammatory factors","S Gispert, D Parganlija, M Klinkenberg, S Dröse, I Wittig, M Mittelbronn, ...","Human molecular genetics 22 (24), 4871-4887, 2013",182,2013
Andreas Zell,Evolutionary algorithms and the cardinality constrained portfolio optimization problem,"F Streichert, H Ulmer, A Zell","Operations research proceedings 2003: Selected papers of the international …, 2004",167,2004
Andreas Zell,Evolution strategies assisted by Gaussian processes with improved preselection criterion,"H Ulmer, F Streichert, A Zell","The 2003 Congress on Evolutionary Computation, 2003. CEC'03. 1, 692-699, 2003",157,2003
Andreas Zell,Efficient parameter selection for support vector machines in classification and regression via model-based global optimization,"H Frohlich, A Zell","Proceedings. 2005 IEEE International Joint Conference on Neural Networks …, 2005",147,2005
Andreas Zell,Real-time object tracking for soccer-robots without color information,"A Treptow, A Zell","Robotics and Autonomous Systems 48 (1), 41-48, 2004",141,2004
Andreas Zell,Path2Models: large-scale generation of computational models from biochemical pathway maps,"F Büchel, N Rodriguez, N Swainston, C Wrzodek, T Czauderna, R Keller, ...","BMC systems biology 7, 1-19, 2013",136,2013
Andreas Zell,Path following for an omnidirectional mobile robot based on model predictive control,"K Kanjanawanishkul, A Zell","2009 IEEE International Conference on Robotics and Automation, 3341-3346, 2009",135,2009
Andreas Zell,Circulating lysophosphatidylcholines are markers of a metabolically benign nonalcoholic fatty liver,"R Lehmann, H Franken, S Dammeier, L Rosenbaum, K Kantartzis, ...","Diabetes care 36 (8), 2331-2338, 2013",122,2013
Andreas Zell,Localization of mobile robots with omnidirectional vision using particle filter and iterative sift,"H Tamimi, H Andreasson, A Treptow, T Duckett, A Zell","Robotics and Autonomous Systems 54 (9), 758-765, 2006",122,2006
Andreas Zell,Prediction of aqueous solubility and partition coefficient optimized by a genetic algorithm based descriptor selection method,"JK Wegner, A Zell","Journal of Chemical Information and Computer Sciences 43 (3), 1077-1084, 2003",120,2003
Andreas Zell,"Genomics of ADME gene expression: mapping expression quantitative trait loci relevant for absorption, distribution, metabolism and excretion of drugs in human liver","A Schröder, K Klein, S Winter, M Schwab, M Bonin, A Zell, UM Zanger","The pharmacogenomics journal 13 (1), 12-20, 2013",116,2013
Andreas Zell,JSBML: a flexible Java library for working with SBML,"A Dräger, N Rodriguez, M Dumousseau, A Dörr, C Wrzodek, N Le Novère, ...","Bioinformatics 27 (15), 2167-2168, 2011",115,2011
Andreas Zell,Framework for autonomous on-board navigation with the AR. Drone,"J Jiménez Lugo, A Zell","Journal of Intelligent & Robotic Systems 73, 401-412, 2014",114,2014
Andreas Zell,Evaluating a hybrid encoding and three crossover operators on the constrained portfolio selection problem,"F Streichert, H Ulmer, A Zell","Proceedings of the 2004 congress on evolutionary computation (IEEE Cat. No …, 2004",114,2004
Andreas Zell,Bioelectronic noses: a status report. Part II,"C Ziegler, W Göpel, H Hämmerle, H Hatt, G Jung, L Laxhuber, HL Schmidt, ...","Biosensors and Bioelectronics 13 (5), 539-571, 1998",114,1998
Andreas Zell,TDP-43 regulates global translational yield by splicing of exon junction complex component SKAR,"FC Fiesel, SS Weber, J Supper, A Zell, PJ Kahle","Nucleic acids research 40 (6), 2668-2682, 2012",111,2012
Andreas Zell,Gas source tracing with a mobile robot using an adapted moth strategy,"A Lilienthal, D Reimann, A Zell","Autonome Mobile Systeme 2003: 18. Fachgespräch Karlsruhe, 4./5. Dezember …, 2003",106,2003
Andreas Zell,Optimal assignment methods for ligand-based virtual screening,"A Jahn, G Hinselmann, N Fechner, A Zell","Journal of cheminformatics 1 (1), 1-23, 2009",103,2009
Andreas Zell,Using RFID Snapshots for Mobile Robot Self-Localization.,"S Schneegans, P Vorst, A Zell","EMCR, 2007",101,2007
