author_name,title,authors,publication,cited_by_value,year
Bernhard Schölkopf,"Learning with kernels: support vector machines, regularization, optimization, and beyond","B Schölkopf, AJ Smola","MIT press, 2002",23820,2002
Bernhard Schölkopf,A tutorial on support vector regression,"AJ Smola, B Schölkopf","Statistics and computing 14, 199-222, 2004",14611,2004
Bernhard Schölkopf,Nonlinear component analysis as a kernel eigenvalue problem,"B Schölkopf, A Smola, KR Müller","Neural computation 10 (5), 1299-1319, 1998",10676,1998
Bernhard Schölkopf,"Semi-Supervised Learning (Chapelle, O. et al., Eds.; 2006) [Book reviews]","O Chapelle, B Scholkopf, A Zien","IEEE Transactions on Neural Networks 20 (3), 542-542, 2009",7381,2009
Bernhard Schölkopf,Semi-supervised learning,"O Chapelle, B Schölkopf, A Zien","MIT Press, 2006",7326,2006
Bernhard Schölkopf,"Semi-Supervised Learning (Chapelle, O. et al., Eds.; 2006) [Book reviews]","O Chapelle, B Scholkopf, A Zien","IEEE Transactions on Neural Networks 20 (3), 542-542, 2009",7268,2009
Bernhard Schölkopf,Estimating the support of a high-dimensional distribution,"B Schölkopf, JC Platt, J Shawe-Taylor, AJ Smola, RC Williamson","Neural computation 13 (7), 1443-1471, 2001",6876,2001
Bernhard Schölkopf,Support vector machines,"MA Hearst, ST Dumais, E Osuna, J Platt, B Scholkopf","IEEE Intelligent Systems and their applications 13 (4), 18-28, 1998",5439,1998
Bernhard Schölkopf,Learning with local and global consistency,"D Zhou, O Bousquet, T Lal, J Weston, B Schölkopf","Advances in neural information processing systems 16, 2003",5288,2003
Bernhard Schölkopf,An introduction to kernel-based learning algorithms,"KR Muller, S Mika, G Ratsch, K Tsuda, B Scholkopf","IEEE Transactions on Neural Networks 12 (2), 181-201, 2001",4908,2001
Bernhard Schölkopf,A kernel two-sample test,"A Gretton, KM Borgwardt, MJ Rasch, B Schölkopf, A Smola","The Journal of Machine Learning Research 13 (1), 723-773, 2012",4869,2012
Bernhard Schölkopf,Advances in kernel methods: support vector learning,"B Schölkopf, A Burges, C.J.C.: Smola","The MIT press, 1999",4438,1999
Bernhard Schölkopf,Fisher discriminant analysis with kernels,"S Mika, G Rätsch, J Weston, B Schölkopf, K Müller","Neural networks for signal processing IX, 1999",4135,1999
Bernhard Schölkopf,Kernel principal component analysis,"B Schölkopf, A Smola, KR Müller","International conference on artificial neural networks, 583-588, 1997",3499,1997
Bernhard Schölkopf,New support vector algorithms,"B Schölkopf, AJ Smola, RC Williamson, PL Bartlett","Neural computation 12 (5), 1207-1245, 2000",3454,2000
Bernhard Schölkopf,A gene expression map of Arabidopsis thaliana development,"M Schmid, TS Davison, SR Henz, UJ Pape, M Demar, M Vingron, ...","Nature genetics 37 (5), 501-506, 2005",2735,2005
Bernhard Schölkopf,Kernel methods in machine learning,"T Hofmann, B Schölkopf, AJ Smola","Annals of Statistics 36 (3), 1171-1220, 2008",2622,2008
Bernhard Schölkopf,Support vector method for novelty detection,"B Schölkopf, RC Williamson, A Smola, J Shawe-Taylor, J Platt","Advances in neural information processing systems 12, 1999",2279,1999
Bernhard Schölkopf,A kernel method for the two-sample-problem,"A Gretton, K Borgwardt, M Rasch, B Schölkopf, A Smola","Advances in neural information processing systems 19, 2006",2153,2006
Bernhard Schölkopf,A generalized representer theorem,"B Schölkopf, R Herbrich, AJ Smola","International conference on computational learning theory, 416-426, 2001",2143,2001
Bernhard Schölkopf,Correcting sample selection bias by unlabeled data,"J Huang, A Gretton, K Borgwardt, B Schölkopf, A Smola","Advances in neural information processing systems 19, 2006",2009,2006
Bernhard Schölkopf,Comparing support vector machines with Gaussian kernels to radial basis function classifiers,"B Scholkopf, KK Sung, CJC Burges, F Girosi, P Niyogi, T Poggio, ...","IEEE transactions on Signal Processing 45 (11), 2758-2765, 1997",1813,1997
Bernhard Schölkopf,Measuring statistical dependence with Hilbert-Schmidt norms,"A Gretton, O Bousquet, A Smola, B Schölkopf","International conference on algorithmic learning theory, 63-77, 2005",1792,2005
Bernhard Schölkopf,Large scale multiple kernel learning,"S Sonnenburg, G Rätsch, C Schäfer, B Schölkopf","The Journal of Machine Learning Research 7, 1531-1565, 2006",1720,2006
Bernhard Schölkopf,Elements of causal inference: foundations and learning algorithms,"J Peters, D Janzing, B Schölkopf","The MIT Press, 2017",1703,2017
Bernhard Schölkopf,Input space versus feature space in kernel-based methods,"B Schölkopf, S Mika, CJC Burges, P Knirsch, KR Müller, G Rätsch, ...","IEEE transactions on neural networks 10 (5), 1000-1017, 1999",1684,1999
Bernhard Schölkopf,"Learning with hypergraphs: Clustering, classification, and embedding","D Zhou, J Huang, B Scholkopf","Advances in Neural Information Processing Systems 19, 1601, 2007",1498,2007
Bernhard Schölkopf,Integrating structured biological data by kernel maximum mean discrepancy,"KM Borgwardt, A Gretton, MJ Rasch, HP Kriegel, B Schölkopf, AJ Smola","Bioinformatics 22 (14), e49-e57, 2006",1482,2006
Bernhard Schölkopf,Kernel PCA and de-noising in feature spaces,"S Mika, B Schölkopf, AJ Smola, KR Müller, M Scholz, G Rätsch","Advances in neural information processing systems 11 (1), 536-542, 1999",1419,1999
Bernhard Schölkopf,Predicting time series with support vector machines,"K Müller, A Smola, G Rätsch, B Schölkopf, J Kohlmorgen, V Vapnik","Artificial Neural Networks—ICANN'97, 999-1004, 1997",1411,1997
Bernhard Schölkopf,Challenging common assumptions in the unsupervised learning of disentangled representations,"F Locatello, S Bauer, M Lucic, G Raetsch, S Gelly, B Schölkopf, O Bachem","international conference on machine learning, 4114-4124, 2019",1299,2019
Bernhard Schölkopf,Wasserstein auto-encoders,"I Tolstikhin, O Bousquet, S Gelly, B Schoelkopf","arXiv preprint arXiv:1711.01558, 2017",1126,2017
Bernhard Schölkopf,Enhancenet: Single image super-resolution through automated texture synthesis,"MSM Sajjadi, B Scholkopf, M Hirsch","Proceedings of the IEEE international conference on computer vision, 4491-4500, 2017",1051,2017
Bernhard Schölkopf,Use of the zero norm with linear models and kernel methods,"J Weston, A Elisseeff, B Schölkopf, M Tipping","The Journal of Machine Learning Research 3, 1439-1461, 2003",1048,2003
Bernhard Schölkopf,Nonlinear causal discovery with additive noise models,"P Hoyer, D Janzing, J Mooij, J Peters, B Schölkopf",,1031,2009
Bernhard Schölkopf,Domain generalization via invariant feature representation,"K Muandet, D Balduzzi, B Schölkopf","International conference on machine learning, 10-18, 2013",1028,2013
Bernhard Schölkopf,Learning with kernels,"AJ Smola, B Schölkopf","GMD-Forschungszentrum Informationstechnik, 1998",1021,1998
Bernhard Schölkopf,Kernel methods in computational biology,"B Schölkopf, K Tsuda, JP Vert","The MIT press, 2004",1010,2004
Bernhard Schölkopf,Ranking on data manifolds,"D Zhou, J Weston, A Gretton, O Bousquet, B Schölkopf","Advances in neural information processing systems 16, 2003",960,2003
Bernhard Schölkopf,A Hilbert space embedding for distributions,"A Smola, A Gretton, L Song, B Schölkopf","International conference on algorithmic learning theory, 13-31, 2007",956,2007
Bernhard Schölkopf,A kernel statistical test of independence,"A Gretton, K Fukumizu, CH Teo, L Song, B Schölkopf, AJ Smola","MIT Press, 2008",939,2008
Bernhard Schölkopf,Extracting support data for a given task,"B Schölkopf, C Burges, V Vapnik","KDD, 1995",927,1995
Bernhard Schölkopf,The kernel trick for distances,B Schölkopf,"Advances in neural information processing systems 13, 2000",890,2000
Bernhard Schölkopf,Sparse greedy matrix approximation for machine learning,AJ Smola,"Proceedings of the 17th international conference on machine learning, June …, 2000",885,2000
Bernhard Schölkopf,Sparse greedy matrix approximation for machine learning,AJ Smola,"Proceedings of the 17th international conference on machine learning, June …, 2000",885,2000
Bernhard Schölkopf,The connection between regularization operators and support vector kernels,"AJ Smola, B Schölkopf, KR Müller","Neural networks 11 (4), 637-649, 1998",882,1998
Bernhard Schölkopf,Common Sequence Polymorphisms Shaping Genetic Diversity in Arabidopsis thaliana,"RM Clark, G Schweikert, C Toomajian, S Ossowski, G Zeller, P Shinn, ...","science 317 (5836), 338-342, 2007",838,2007
Bernhard Schölkopf,Training invariant support vector machines,"D DeCoste, B Schölkopf","Machine learning 46, 161-190, 2002",837,2002
Bernhard Schölkopf,Toward causal representation learning,"B Schölkopf, F Locatello, S Bauer, NR Ke, N Kalchbrenner, A Goyal, ...","Proceedings of the IEEE 109 (5), 612-634, 2021",836,2021
Bernhard Schölkopf,Support vector learning,B Scholkopf,"Oldenbourg, Munich, 1997",821,1997
Bernhard Schölkopf,Support vector learning,B Schölkopf,,820,1997
Bernhard Schölkopf,Hilbert space embeddings and metrics on probability measures,"BK Sriperumbudur, A Gretton, K Fukumizu, B Schölkopf, GRG Lanckriet","The Journal of Machine Learning Research 11, 1517-1561, 2010",788,2010
Bernhard Schölkopf,Support vector machines and kernels for computational biology,"A Ben-Hur, CS Ong, S Sonnenburg, B Schölkopf, G Rätsch","PLoS computational biology 4 (10), e1000173, 2008",783,2008
Bernhard Schölkopf,Covariate shift by kernel mean matching,"A Gretton, A Smola, J Huang, M Schmittfull, K Borgwardt, B Schölkopf","Dataset shift in machine learning, 131-160, 2009",746,2009
Bernhard Schölkopf,Uncovering the temporal dynamics of diffusion networks,"M Gomez-Rodriguez, D Balduzzi, B Schölkopf","Twenty-eighth International Conference on Machine Learning, Bellevue, Washing, 2011",716,2011
Bernhard Schölkopf,A kernel view of the dimensionality reduction of manifolds,"J Ham, DD Lee, S Mika, B Schölkopf","Proceedings of the twenty-first international conference on Machine learning, 47, 2004",705,2004
Bernhard Schölkopf,Kernel mean embedding of distributions: A review and beyond,"K Muandet, K Fukumizu, B Sriperumbudur, B Schölkopf","Foundations and Trends® in Machine Learning 10 (1-2), 1-141, 2017",691,2017
Bernhard Schölkopf,A tutorial on ν‐support vector machines,"PH Chen, CJ Lin, B Schölkopf","Applied Stochastic Models in Business and Industry 21 (2), 111-136, 2005",690,2005
Bernhard Schölkopf,Improving the accuracy and speed of support vector machines,"C Burges, B Schölkopf","Advances in Neural Information Processing Systems 9, 375-381, 1997",690,1997
Bernhard Schölkopf,Kernel measures of conditional dependence,"K Fukumizu, A Gretton, X Sun, B Schölkopf","Advances in neural information processing systems 20, 2007",669,2007
Bernhard Schölkopf,Cluster kernels for semi-supervised learning,"O Chapelle, J Weston, B Schölkopf","Advances in neural information processing systems 15, 2002",669,2002
Bernhard Schölkopf,Domain adaptation under target and conditional shift,"K Zhang, B Schölkopf, K Muandet, Z Wang","International conference on machine learning, 819-827, 2013",659,2013
Bernhard Schölkopf,Engineering support vector machine kernels that recognize translation initiation sites,"A Zien, G Ratsch, S Mika, B Scholkopf, T Lengauer, KR Muller","Bioinformatics-Oxford, GCB'99 PAPERS PRESENTED AT THE GERMAN CONFERENCE ON …, 1999",652,1999
Bernhard Schölkopf,Avoiding discrimination through causal reasoning,"N Kilbertus, M Rojas Carulla, G Parascandolo, M Hardt, D Janzing, ...","Advances in neural information processing systems 30, 2017",619,2017
Bernhard Schölkopf,Learning to deblur,"CJ Schuler, M Hirsch, S Harmeling, B Schölkopf","IEEE transactions on pattern analysis and machine intelligence 38 (7), 1439-1451, 2015",610,2015
Bernhard Schölkopf,Support vector channel selection in BCI,"TN Lal, M Schroder, T Hinterberger, J Weston, M Bogdan, N Birbaumer, ...","IEEE transactions on biomedical engineering 51 (6), 1003-1010, 2004",609,2004
