author_name,title,authors,publication,cited_by_value,year
Enkelejda Kasneci,A multimodal smartwatch-based interaction concept for immersive environments,"M Lang, C Strobel, F Weckesser, D Langlois, E Kasneci, B Kozlíková, ...","Computers & Graphics 117, 85-95, 2023",,2023
Enkelejda Kasneci,Impact of Artificial Intelligence on Dentists’ Gaze during Caries Detection: A Randomized Controlled Trial,"LT Arsiwala-Scheppach, NJ Castner, C Rohrer, S Mertens, E Kasneci, ...","Journal of Dentistry, 104793, 2023",,2023
Enkelejda Kasneci,Zero-Shot Segmentation of Eye Features Using the Segment Anything Model (SAM),"V Maquiling, SA Byrne, DC Niehorster, M Nyström, E Kasneci","arXiv preprint arXiv:2311.08077, 2023",,2023
Enkelejda Kasneci,Towards Human-Centered Explainable AI: A Survey of User Studies for Model Explanations,"Y Rong, T Leemann, TT Nguyen, L Fiedler, P Qian, V Unhelkar, T Seidel, ...","IEEE Transactions on Pattern Analysis & Machine Intelligence, 1-20, 2023",,2023
Enkelejda Kasneci,Caution to the Exemplars: On the Intriguing Effects of Example Choice on Human Trust in XAI,"T Leemann, Y Rong, TT Nguyen, E Kasneci, G Kasneci","XAI in Action: Past, Present, and Future Applications, 2023",,2023
Enkelejda Kasneci,V-ir-Net: A Novel Neural Network for Pupil and Corneal Reflection Detection trained on Simulated Light Distributions,"V Maquiling, SA Byrne, M Nyström, E Kasneci, DC Niehorster","Proceedings of the 25th International Conference on Mobile Human-Computer …, 2023",2,2023
Enkelejda Kasneci,Testing different function fitting methods for mobile eye-tracker calibration,"B Severitt, T Kübler, E Kasneci","Journal of Eye Movement Research 16 (4), 2023",,2023
Enkelejda Kasneci,Investigating social comparison behaviour in an immersive virtual reality classroom based on eye-movement data,"L Hasenbein, P Stark, U Trautwein, H Gao, E Kasneci, R Göllner","Scientific Reports 13 (1), 14672, 2023",,2023
Enkelejda Kasneci,TS-MoCo: Time-Series Momentum Contrast for Self-Supervised Physiological Representation Learning,"P Hallgarten, D Bethge, O Özdcnizci, T Grosse-Puppendahl, E Kasneci","2023 31st European Signal Processing Conference (EUSIPCO), 1030-1034, 2023",,2023
Enkelejda Kasneci,LEyes: A Lightweight Framework for Deep Learning-Based Eye Tracking using Synthetic Eye Images,"SA Byrne, V Maquiling, M Nyström, E Kasneci, DC Niehorster","arXiv preprint arXiv:2309.06129, 2023",1,2023
