author_name,title,authors,publication,cited_by_value,year
Felix Wichmann,"The psychometric function: I. Fitting, sampling, and goodness of fit","FA Wichmann, NJ Hill","Perception & psychophysics 63 (8), 1293-1313, 2001",2678,2001
Felix Wichmann,ImageNet-trained CNNs are biased towards texture; increasing shape bias improves accuracy and robustness,"R Geirhos, P Rubisch, C Michaelis, M Bethge, FA Wichmann, W Brendel","arXiv preprint arXiv:1811.12231, 2018",2471,2018
Felix Wichmann,Shortcut learning in deep neural networks,"R Geirhos, JH Jacobsen, C Michaelis, R Zemel, W Brendel, M Bethge, ...","Nature Machine Intelligence 2 (11), 665-673, 2020",1376,2020
Felix Wichmann,The psychometric function: II. Bootstrap-based confidence intervals and sampling,"FA Wichmann, NJ Hill","Perception & psychophysics 63, 1314-1329, 2001",961,2001
Felix Wichmann,Generalisation in humans and deep neural networks,"R Geirhos, CRM Temme, J Rauber, HH Schütt, M Bethge, FA Wichmann","Advances in neural information processing systems 31, 2018",582,2018
Felix Wichmann,The contributions of color to recognition memory for natural scenes.,"FA Wichmann, LT Sharpe, KR Gegenfurtner","Journal of Experimental Psychology: Learning, Memory, and Cognition 28 (3), 509, 2002",396,2002
Felix Wichmann,Painfree and accurate Bayesian estimation of psychometric functions for (potentially) overdispersed data,"HH Schütt, S Harmeling, JH Macke, FA Wichmann","Vision research 122, 105-123, 2016",311,2016
Felix Wichmann,Inference for psychometric functions in the presence of nonstationary behavior,"I Fründ, NV Haenel, FA Wichmann","Journal of vision 11 (6), 16-16, 2011",291,2011
Felix Wichmann,Comparing deep neural networks against humans: object recognition when the signal gets weaker,"R Geirhos, DHJ Janssen, HH Schütt, J Rauber, M Bethge, FA Wichmann","arXiv preprint arXiv:1706.06969, 2017",274,2017
Felix Wichmann,A nonparametric approach to bottom-up visual saliency,"W Kienzle, FA Wichmann, M Franz, B Schölkopf","Advances in neural information processing systems 19, 2006",264,2006
Felix Wichmann,Center-surround patterns emerge as optimal predictors for human saccade targets,"W Kienzle, MO Franz, B Schölkopf, FA Wichmann","Journal of vision 9 (5), 7-7, 2009",191,2009
Felix Wichmann,Quantifying the effect of intertrial dependence on perceptual decisions,"I Fründ, FA Wichmann, JH Macke","Journal of vision 14 (7), 9-9, 2014",190,2014
Felix Wichmann,Bayesian inference for psychometric functions,"M Kuss, F Jäkel, FA Wichmann","Journal of Vision 5 (5), 8-8, 2005",183,2005
Felix Wichmann,Spatial four-alternative forced-choice method is the preferred psychophysical method for naïve observers,"F Jäkel, FA Wichmann","Journal of Vision 6 (11), 13-13, 2006",158,2006
Felix Wichmann,Texture and haptic cues in slant discrimination: reliability-based cue weighting without statistically optimal cue combination,"P Rosas, J Wagemans, MO Ernst, FA Wichmann","JOSA A 22 (5), 801-809, 2005",130,2005
Felix Wichmann,Partial success in closing the gap between human and machine vision,"R Geirhos, K Narayanappa, B Mitzkus, T Thieringer, M Bethge, ...","Advances in Neural Information Processing Systems 34, 23885-23899, 2021",129,2021
Felix Wichmann,Animal detection in natural scenes: Critical features revisited,"FA Wichmann, J Drewes, P Rosas, KR Gegenfurtner","Journal of Vision 10 (4), 6-6, 2010",124,2010
Felix Wichmann,Phase noise and the classification of natural images,"FA Wichmann, DI Braun, KR Gegenfurtner","Vision research 46 (8-9), 1520-1529, 2006",112,2006
Felix Wichmann,Transcranial magnetic stimulation in the visual system.<? A3B2 show $6#?> I. The psychophysics of visual suppression,"T Kammer, K Puls, H Strasburger, NJ Hill, FA Wichmann","Experimental brain research 160, 118-128, 2005",108,2005
Felix Wichmann,Gender classification of human faces,"ABA Graf, FA Wichmann","Biologically Motivated Computer Vision: Second International Workshop, BMCV …, 2002",106,2002
Felix Wichmann,Spatial statistics and attentional dynamics in scene viewing,"R Engbert, HA Trukenbrod, S Barthelmé, FA Wichmann","Journal of vision 15 (1), 14-14, 2015",103,2015
Felix Wichmann,An overview of quantitative approaches in Gestalt perception,"F Jäkel, M Singh, FA Wichmann, MH Herzog","Vision research 126, 3-8, 2016",92,2016
Felix Wichmann,Generalization and similarity in exemplar models of categorization: Insights from machine learning,"F Jäkel, B Schölkopf, FA Wichmann","Psychonomic Bulletin & Review 15, 256-271, 2008",89,2008
Felix Wichmann,A tutorial on kernel methods for categorization,"F Jäkel, B Schölkopf, FA Wichmann","Journal of Mathematical Psychology 51 (6), 343-358, 2007",86,2007
Felix Wichmann,How sensitive is the human visual system to the local statistics of natural images?,"HE Gerhard, FA Wichmann, M Bethge","PLoS computational biology 9 (1), e1002873, 2013",78,2013
Felix Wichmann,Beyond accuracy: quantifying trial-by-trial behaviour of CNNs and humans by measuring error consistency,"R Geirhos, K Meding, FA Wichmann","Advances in Neural Information Processing Systems 33, 13890-13902, 2020",77,2020
Felix Wichmann,How to find interesting locations in video: a spatiotemporal interest point detector learned from human eye movements,"W Kienzle, B Schölkopf, FA Wichmann, MO Franz","Pattern Recognition: 29th DAGM Symposium, Heidelberg, Germany, September 12 …, 2007",77,2007
Felix Wichmann,Does cognitive science need kernels?,"F Jäkel, B Schölkopf, FA Wichmann","Trends in cognitive sciences 13 (9), 381-388, 2009",76,2009
Felix Wichmann,Texture and object motion in slant discrimination: Failure of reliability-based weighting of cues may be evidence for strong fusion,"P Rosas, FA Wichmann, J Wagemans","Journal of vision 7 (6), 3-3, 2007",67,2007
Felix Wichmann,Contrast discrimination with sinusoidal gratings of different spatial frequency,"CM Bird, GB Henning, FA Wichmann","JOSA A 19 (7), 1267-1273, 2002",65,2002
Felix Wichmann,A parametric texture model based on deep convolutional features closely matches texture appearance for humans,"TSA Wallis, CM Funke, AS Ecker, LA Gatys, FA Wichmann, M Bethge","Journal of vision 17 (12), 5-5, 2017",58,2017
Felix Wichmann,Modeling fixation locations using spatial point processes,"S Barthelmé, H Trukenbrod, R Engbert, F Wichmann","Journal of vision 13 (12), 1-1, 2013",55,2013
Felix Wichmann,A neural population model for visual pattern detection.,"RLT Goris, T Putzeys, J Wagemans, FA Wichmann","Psychological review 120 (3), 472, 2013",55,2013
Felix Wichmann,"Similarity, kernels, and the triangle inequality","F Jäkel, B Schölkopf, FA Wichmann","Journal of Mathematical Psychology 52 (5), 297-303, 2008",54,2008
Felix Wichmann,Classification of faces in man and machine,"ABA Graf, FA Wichmann, HH Bülthoff, B Schölkopf","Neural Computation 18 (1), 143-165, 2006",53,2006
Felix Wichmann,Testing models of peripheral encoding using metamerism in an oddity paradigm,"TSA Wallis, M Bethge, FA Wichmann","Journal of vision 16 (2), 4-4, 2016",51,2016
Felix Wichmann,Image content is more important than Bouma’s Law for scene metamers,"TSA Wallis, CM Funke, AS Ecker, LA Gatys, FA Wichmann, M Bethge","ELife 8, e42512, 2019",46,2019
Felix Wichmann,Learning an interest operator from human eye movements,"W Kienzle, FA Wichmann, B Scholkopf, MO Franz","2006 Conference on Computer Vision and Pattern Recognition Workshop (CVPRW …, 2006",45,2006
Felix Wichmann,Likelihood-based parameter estimation and comparison of dynamical cognitive models.,"HH Schütt, LOM Rothkegel, HA Trukenbrod, S Reich, FA Wichmann, ...","Psychological review 124 (4), 505, 2017",44,2017
Felix Wichmann,Modelling contrast discrimination data suggest both the pedestal effect and stochastic resonance to be caused by the same mechanism,"RLT Goris, J Wagemans, FA Wichmann","Journal of Vision 8 (15), 17-17, 2008",44,2008
Felix Wichmann,Cue combination: Beyond optimality,"P Rosas, FA Wichmann","Sensory cue integration, 144-52, 2011",43,2011
Felix Wichmann,On the surprising similarities between supervised and self-supervised models,"R Geirhos, K Narayanappa, B Mitzkus, M Bethge, FA Wichmann, ...","arXiv preprint arXiv:2010.08377, 2020",42,2020
Felix Wichmann,An image-computable psychophysical spatial vision model,"HH Schütt, FA Wichmann","Journal of vision 17 (12), 12-12, 2017",40,2017
Felix Wichmann,Some observations on the pedestal effect,"GB Henning, FA Wichmann","Journal of Vision 7 (1), 3-3, 2007",39,2007
Felix Wichmann,Disentangling bottom-up versus top-down and low-level versus high-level influences on eye movements over time,"HH Schütt, LOM Rothkegel, HA Trukenbrod, R Engbert, FA Wichmann","Journal of vision 19 (3), 1-1, 2019",37,2019
Felix Wichmann,Psignifit 4: Pain-free Bayesian inference for psychometric functions,"H Schütt, S Harmeling, J Macke, F Wichmann","Journal of vision 15 (12), 474-474, 2015",37,2015
Felix Wichmann,Machine learning applied to perception: Decision images for gender classification,"FA Wichmann, A Graf, H Bülthoff, E Simoncelli, B Schölkopf","Advances in neural information processing systems 17, 2004",36,2004
Felix Wichmann,Some aspects of modelling human spatial vision: contrast discrimination.,FA Wichmann,"University of Oxford, 1999",36,1999
Felix Wichmann,Methods in psychophysics,"FA Wichmann, F Jäkel, J Wixted","Stevens handbook of experimental psychology and cognitive neuroscience 5 …, 2018",34,2018
Felix Wichmann,A neurophysiologically plausible population code model for human contrast discrimination,"RLT Goris, FA Wichmann, GB Henning","Journal of Vision 9 (7), 15-15, 2009",34,2009
Felix Wichmann,Temporal evolution of the central fixation bias in scene viewing,"LOM Rothkegel, HA Trukenbrod, HH Schütt, FA Wichmann, R Engbert","Journal of vision 17 (13), 3-3, 2017",33,2017
Felix Wichmann,Estimating predictive stimulus features from psychophysical data: The decision image technique applied to human faces,"JH Macke, FA Wichmann","Journal of vision 10 (5), 22-22, 2010",33,2010
Felix Wichmann,Visual perception I: Basic principles,"J Wagemans, FA Wichmann, HO de Beeck","H and boo ko f, 1, 2004",32,2004
Felix Wichmann,Some observations on the effects of slant and texture type on slant-from-texture,"P Rosas, FA Wichmann, J Wagemans","Vision Research 44 (13), 1511-1535, 2004",31,2004
Felix Wichmann,Determining the cortical target of transcranial magnetic stimulation,"A Thielscher, FA Wichmann","Neuroimage 47 (4), 1319-1330, 2009",29,2009
Felix Wichmann,The contribution of color to visual memory in X-chromosome-linked dichromats,"KR Gegenfurtner, FA Wichmann, LT Sharpe","Vision research 38 (7), 1041-1045, 1998",29,1998
Felix Wichmann,Contrast discrimination with pulse trains in pink noise,"GB Henning, CM Bird, FA Wichmann","JOSA A 19 (7), 1259-1266, 2002",26,2002
Felix Wichmann,Influence of initial fixation position in scene viewing,"LOM Rothkegel, HA Trukenbrod, HH Schütt, FA Wichmann, R Engbert","Vision research 129, 33-49, 2016",20,2016
Felix Wichmann,Trivial or impossible--dichotomous data difficulty masks model differences (on ImageNet and beyond),"K Meding, LMS Buschoff, R Geirhos, FA Wichmann","arXiv preprint arXiv:2110.05922, 2021",19,2021
Felix Wichmann,Noise masking of White's illusion exposes the weakness of current spatial filtering models of lightness perception,"T Betz, R Shapley, FA Wichmann, M Maertens","Journal of vision 15 (14), 1-1, 2015",19,2015
Felix Wichmann,Comparing sensitivity estimates from MLDS and forced-choice methods in a slant-from-texture experiment,"G Aguilar, FA Wichmann, M Maertens","Journal of Vision 17 (1), 37-37, 2017",18,2017
Felix Wichmann,Searchers adjust their eye-movement dynamics to target characteristics in natural scenes,"LOM Rothkegel, HH Schütt, HA Trukenbrod, FA Wichmann, R Engbert","Scientific reports 9 (1), 1635, 2019",17,2019
Felix Wichmann,Methods and measurements to compare men against machines,"FA Wichmann, DHJ Janssen, R Geirhos, G Aguilar, HH Schütt, ...","Electronic Imaging 2017 (14), 36-45, 2017",17,2017
Felix Wichmann,BOiS—Berlin object in scene database: controlled photographic images for visual search experiments with quantified contextual priors,"J Mohr, J Seyfarth, A Lueschow, JE Weber, FA Wichmann, K Obermayer","Frontiers in psychology 7, 749, 2016",16,2016
Felix Wichmann,Inducing metric violations in human similarity judgements,"J Laub, KR Müller, FA Wichmann, JH Macke","Advances in neural information processing systems 19, 2006",15,2006
Felix Wichmann,Sparse regularized regression identifies behaviorally-relevant stimulus features from psychophysical data,"VH Schönfelder, FA Wichmann","The Journal of the Acoustical Society of America 131 (5), 3953-3969, 2012",14,2012
Felix Wichmann,Identification of stimulus cues in narrow-band tone-in-noise detection using sparse observer models,"VH Schönfelder, FA Wichmann","The Journal of the Acoustical Society of America 134 (1), 447-463, 2013",13,2013
Felix Wichmann,When luminance increment thresholds depend on apparent lightness,"M Maertens, FA Wichmann","Journal of Vision 13 (6), 21-21, 2013",13,2013
Felix Wichmann,Testing the role of luminance edges in White's illusion with contour adaptation,"T Betz, R Shapley, FA Wichmann, M Maertens","Journal of vision 15 (11), 14-14, 2015",12,2015
Felix Wichmann,Are Deep Neural Networks Adequate Behavioral Models of Human Visual Perception?,"FA Wichmann, R Geirhos","Annual Review of Vision Science 9, 2023",11,2023
Felix Wichmann,Insights from Machine Learning Applied to Human Visual Classification.,"ABA Graf, FA Wichmann","NIPS, 905-912, 2003",11,2003
Felix Wichmann,Deep neural models for color classification and color constancy,"A Flachot, A Akbarinia, HH Schütt, RW Fleming, FA Wichmann, ...","Journal of Vision 22 (4), 17-17, 2022",10,2022
Felix Wichmann,Context affects lightness at the level of surfaces,"M Maertens, FA Wichmann, R Shapley","Journal of vision 15 (1), 15-15, 2015",10,2015
Felix Wichmann,Spatial statistics for gaze patterns in scene viewing: Effects of repeated viewing,"HA Trukenbrod, S Barthelmé, FA Wichmann, R Engbert","Journal of vision 19 (6), 5-5, 2019",9,2019
Felix Wichmann,A new perceptual bias reveals suboptimal population decoding of sensory responses,"T Putzeys, M Bethge, F Wichmann, J Wagemans, R Goris","PLoS Computational Biology 8 (4), e1002453, 2012",9,2012
Felix Wichmann,The importance of phase information for recognizing natural images,"KR Gegenfurtner, DI Braun, FA Wichmann","Journal of Vision 3 (9), 519-519, 2003",9,2003
Felix Wichmann,No role for motion blur in either motion detection or motion-based image segmentation,"FA Wichmann, GB Henning","JOSA A 15 (2), 297-306, 1998",9,1998
Felix Wichmann,Estimation of perceptual scales using ordinal embedding,"S Haghiri, FA Wichmann, U von Luxburg","Journal of vision 20 (9), 14-14, 2020",8,2020
Felix Wichmann,Phenomenal causality and sensory realism,"K Meding, SA Bruijns, B Schölkopf, P Berens, FA Wichmann","i-Perception 11 (3), 2041669520927038, 2020",8,2020
Felix Wichmann,Comparison-based framework for psychophysics: Lab versus crowdsourcing,"S Haghiri, P Rubisch, R Geirhos, F Wichmann, U von Luxburg","arXiv preprint arXiv:1905.07234, 2019",7,2019
Felix Wichmann,The independent components of natural images are perceptually dependent,"M Bethge, TV Wiecki, FA Wichmann","Human Vision and Electronic Imaging XII 6492, 112-123, 2007",7,2007
Felix Wichmann,Classification of natural scenes: Critical features revisited,"J Drewes, FA Wichmann, KR Gegenfurtner","Journal of Vision 6 (6), 561-561, 2006",7,2006
Felix Wichmann,The developmental trajectory of object recognition robustness: children are like small adults but unlike big deep neural networks,"LS Huber, R Geirhos, FA Wichmann","arXiv preprint arXiv:2205.10144, 2022",6,2022
Felix Wichmann,Towards matching peripheral appearance for arbitrary natural images using deep features,"T Wallis, C Funke, A Ecker, L Gatys, F Wichmann, M Bethge","Journal of Vision 17 (10), 786-786, 2017",6,2017
Felix Wichmann,A four-year-old can outperform resnet-50: out-of-distribution robustness may not require large-scale experience,"LS Huber, R Geirhos, FA Wichmann","SVRHM 2021 Workshop@ NeurIPS, 2021",4,2021
Felix Wichmann,Rapid animal detection in natural scenes: Critical features are local,"FA Wichmann, P Rosas, KR Gegenfurtner","Journal of Vision 5 (8), 376-376, 2005",4,2005
Felix Wichmann,Classification of natural scenes using global image statistics,"J Drewes, F Wichmann, KR Gegenfurtner","Journal of Vision 5 (8), 602-602, 2005",4,2005
Felix Wichmann,Approximate Bayesian inference for psychometric functions using MCMC sampling,"M Kuss, F Jäkel, FA Wichmann","Max Planck Institute for Biological Cybernetics, 2005",4,2005
Felix Wichmann,The contribution of colour to recognition memory in normal and colour-deficient observers,"KR Gegenfurtner, FA Wichmann, LT Sharpe","Max Planck Institute for Biological Cybernetics, 1996",4,1996
Felix Wichmann,Imagenet suffers from dichotomous data difficulty,"K Meding, LMS Buschoff, R Geirhos, FA Wichmann","NeurIPS 2021 Workshop on ImageNet: Past, Present, and Future, 2021",3,2021
Felix Wichmann,Neural signatures of motor skill in the resting brain,"O Özdenizci, T Meyer, F Wichmann, J Peters, B Schölkopf, M Çetin, ...","2019 IEEE International Conference on Systems, Man and Cybernetics (SMC …, 2019",3,2019
