author_name,title,authors,publication,cited_by_value,year
Georg Martius,Goal-conditioned Offline Planning from Curious Exploration,"M Bagatella, G Martius","arXiv preprint arXiv:2311.16996, 2023",,2023
Georg Martius,Multi-View Causal Representation Learning with Partial Observability,"D Yao, D Xu, S Lachapelle, S Magliacane, P Taslakian, G Martius, ...","arXiv preprint arXiv:2311.04056, 2023",,2023
Georg Martius,Machine learning of a density functional for anisotropic patchy particles,"A Simon, J Weimar, G Martius, M Oettel","arXiv preprint arXiv:2311.04358, 2023",,2023
Georg Martius,Regularity as Intrinsic Reward for Free Play,"C Sancaktar, J Piater, G Martius","Thirty-seventh Conference on Neural Information Processing Systems, 2023",,2023
Georg Martius,Modelling Microbial Communities with Graph Neural Networks,"A Ruaud, C Sancaktar, M Bagatella, C Ratzke, G Martius","NeurIPS 2023 AI for Science Workshop, 2023",,2023
Georg Martius,The Expressive Leaky Memory Neuron: an Efficient and Expressive Phenomenological Neuron Model Can Solve Long-Horizon Tasks,"A Levina, B Schölkopf, G Martius, N Rahaman, A Spieler","arXiv, 2023",,2023
Georg Martius,Learning Diverse Skills for Local Navigation under Multi-constraint Optimality,"J Cheng, M Vlastelica, P Kolev, C Li, G Martius","arXiv preprint arXiv:2310.02440, 2023",,2023
Georg Martius,"Method for force inference of a sensor arrangement, methods for training networks, force inference module and sensor arrangement","A Spiers, H Lee, G Martius, SUN Huanbo, J Fiene","US Patent App. 18/038,567, 2023",,2023
Georg Martius,Emergent mechanisms for long timescales depend on training curriculum and affect performance in memory tasks,"S Khajehabdollahi, R Zeraati, E Giannakakis, TJ Schäfer, G Martius, ...","arXiv preprint arXiv:2309.12927, 2023",,2023
Georg Martius,Lagrangian Proximal Gradient Descent for Learning Convex Optimization Models,"A Paulus, V Musil, G Martius","ICML 2023 Workshop on Differentiable Almost Everything: Differentiable …, 2023",,2023
Georg Martius,Mind the Uncertainty: Risk-Aware and Actively Exploring Model-Based Reinforcement Learning,"M Vlastelica, S Blaes, C Pineri, G Martius","arXiv preprint arXiv:2309.05582, 2023",,2023
Georg Martius,Natural and Robust Walking using Reinforcement Learning without Demonstrations in High-Dimensional Musculoskeletal Models,"P Schumacher, T Geijtenbeek, V Caggiano, V Kumar, S Schmitt, ...","arXiv preprint arXiv:2309.02976, 2023",1,2023
Georg Martius,Role of single-neuron and network-mediated timescales in recurrent neural networks solving long-memory tasks,"R Zeraati, S Khajehabdollahi, E Giannakakis, TJ Schäfer, G Martius, ...",,,2023
Georg Martius,"The Expressive Leaky Memory (ELM) neuron: a biologically inspired, computationally expressive, and efficient model of a cortical neuron","A Spieler, N Rahaman, G Martius, B Schölkopf, A Levina","Bernstein Conference 2023, 2023",,2023
