author_name,title,authors,publication,cited_by_value,year
Gerard Pons-Moll,SMPL: A skinned multi-person linear model,"M Loper, N Mahmood, J Romero, G Pons-Moll, MJ Black","Seminal Graphics Papers: Pushing the Boundaries, Volume 2, 851-866, 2023",3201,2023
Gerard Pons-Moll,Recovering accurate 3d human pose in the wild using imus and a moving camera,"T Von Marcard, R Henschel, MJ Black, B Rosenhahn, G Pons-Moll","Proceedings of the European conference on computer vision (ECCV), 601-617, 2018",787,2018
Gerard Pons-Moll,AMASS: Archive of motion capture as surface shapes,"N Mahmood, N Ghorbani, NF Troje, G Pons-Moll, MJ Black","Proceedings of the IEEE/CVF international conference on computer vision …, 2019",782,2019
Gerard Pons-Moll,D-nerf: Neural radiance fields for dynamic scenes,"A Pumarola, E Corona, G Pons-Moll, F Moreno-Noguer","Proceedings of the IEEE/CVF Conference on Computer Vision and Pattern …, 2021",719,2021
Gerard Pons-Moll,Neural body fitting: Unifying deep learning and model based human pose and shape estimation,"M Omran, C Lassner, G Pons-Moll, P Gehler, B Schiele","2018 international conference on 3D vision (3DV), 484-494, 2018",485,2018
Gerard Pons-Moll,Implicit functions in feature space for 3d shape reconstruction and completion,"J Chibane, T Alldieck, G Pons-Moll","Proceedings of the IEEE/CVF conference on computer vision and pattern …, 2020",407,2020
Gerard Pons-Moll,Single-shot multi-person 3d pose estimation from monocular rgb,"D Mehta, O Sotnychenko, F Mueller, W Xu, S Sridhar, G Pons-Moll, ...","2018 International Conference on 3D Vision (3DV), 120-130, 2018",398,2018
Gerard Pons-Moll,Video based reconstruction of 3d people models,"T Alldieck, M Magnor, W Xu, C Theobalt, G Pons-Moll","Proceedings of the IEEE Conference on Computer Vision and Pattern …, 2018",393,2018
Gerard Pons-Moll,ClothCap: Seamless 4D clothing capture and retargeting,"G Pons-Moll, S Pujades, S Hu, MJ Black","ACM Transactions on Graphics (ToG) 36 (4), 1-15, 2017",391,2017
Gerard Pons-Moll,Dyna: A model of dynamic human shape in motion,"G Pons-Moll, J Romero, N Mahmood, MJ Black","ACM Transactions on Graphics (TOG) 34 (4), 1-14, 2015",360,2015
Gerard Pons-Moll,Dynamic FAUST: Registering human bodies in motion,"F Bogo, J Romero, G Pons-Moll, MJ Black","Proceedings of the IEEE conference on computer vision and pattern …, 2017",344,2017
Gerard Pons-Moll,XNect: Real-time multi-person 3D motion capture with a single RGB camera,"D Mehta, O Sotnychenko, F Mueller, W Xu, M Elgharib, P Fua, HP Seidel, ...","Acm Transactions On Graphics (TOG) 39 (4), 82: 1-82: 17, 2020",327,2020
Gerard Pons-Moll,Multi-garment net: Learning to dress 3d people from images,"BL Bhatnagar, G Tiwari, C Theobalt, G Pons-Moll","Proceedings of the IEEE/CVF international conference on computer vision …, 2019",320,2019
Gerard Pons-Moll,Doublefusion: Real-time capture of human performances with inner body shapes from a single depth sensor,"T Yu, Z Zheng, K Guo, J Zhao, Q Dai, H Li, G Pons-Moll, Y Liu","Proceedings of the IEEE conference on computer vision and pattern …, 2018",296,2018
Gerard Pons-Moll,Tex2shape: Detailed full human body geometry from a single image,"T Alldieck, G Pons-Moll, C Theobalt, M Magnor","Proceedings of the IEEE/CVF International Conference on Computer Vision …, 2019",295,2019
Gerard Pons-Moll,Learning to reconstruct people in clothing from a single RGB camera,"T Alldieck, M Magnor, BL Bhatnagar, C Theobalt, G Pons-Moll","Proceedings of the IEEE/CVF Conference on Computer Vision and Pattern …, 2019",291,2019
Gerard Pons-Moll,"Detailed, accurate, human shape estimation from clothed 3D scan sequences","C Zhang, S Pujades, MJ Black, G Pons-Moll","Proceedings of the IEEE Conference on Computer Vision and Pattern …, 2017",276,2017
Gerard Pons-Moll,A generative model of people in clothing,"C Lassner, G Pons-Moll, PV Gehler","Proceedings of the IEEE international conference on computer vision, 853-862, 2017",268,2017
Gerard Pons-Moll,Learning to dress 3d people in generative clothing,"Q Ma, J Yang, A Ranjan, S Pujades, G Pons-Moll, S Tang, MJ Black","Proceedings of the IEEE/CVF Conference on Computer Vision and Pattern …, 2020",265,2020
Gerard Pons-Moll,Everybody needs somebody: Modeling social and grouping behavior on a linear programming multiple people tracker,"L Leal-Taixé, G Pons-Moll, B Rosenhahn","2011 IEEE international conference on computer vision workshops (ICCV …, 2011",252,2011
Gerard Pons-Moll,Sparse inertial poser: Automatic 3d human pose estimation from sparse imus,"T Von Marcard, B Rosenhahn, MJ Black, G Pons‐Moll","Computer graphics forum 36 (2), 349-360, 2017",251,2017
Gerard Pons-Moll,Deep inertial poser: Learning to reconstruct human pose from sparse inertial measurements in real time,"Y Huang, M Kaufmann, E Aksan, MJ Black, O Hilliges, G Pons-Moll","ACM Transactions on Graphics (TOG) 37 (6), 1-15, 2018",239,2018
Gerard Pons-Moll,"TailorNet: Predicting clothing in 3d as a function of human pose, shape and garment style","C Patel, Z Liao, G Pons-Moll","arXiv preprint arXiv:2003.04583, 2020",230,2020
Gerard Pons-Moll,NASA: Neural Articulated Shape Approximation,"B Deng, JP Lewis, T Jeruzalski, G Pons-Moll, G Hinton, M Norouzi, ...","arXiv preprint arXiv:1912.03207, 2019",217,2019
Gerard Pons-Moll,Neural unsigned distance fields for implicit function learning,"J Chibane, G Pons-Moll","Advances in Neural Information Processing Systems 33, 21638-21652, 2020",215,2020
Gerard Pons-Moll,Livecap: Real-time human performance capture from monocular video,"M Habermann, W Xu, M Zollhoefer, G Pons-Moll, C Theobalt","ACM Transactions On Graphics (TOG) 38 (2), 1-17, 2019",208,2019
Gerard Pons-Moll,Detailed human avatars from monocular video,"T Alldieck, M Magnor, W Xu, C Theobalt, G Pons-Moll","2018 International Conference on 3D Vision (3DV), 98-109, 2018",187,2018
Gerard Pons-Moll,Deepcap: Monocular human performance capture using weak supervision,"M Habermann, W Xu, M Zollhofer, G Pons-Moll, C Theobalt","Proceedings of the IEEE/CVF Conference on Computer Vision and Pattern …, 2020",177,2020
Gerard Pons-Moll,Combining implicit function learning and parametric models for 3d human reconstruction,"BL Bhatnagar, C Sminchisescu, C Theobalt, G Pons-Moll","Computer Vision–ECCV 2020: 16th European Conference, Glasgow, UK, August 23 …, 2020",162,2020
Gerard Pons-Moll,Human pose estimation from video and imus,"T Von Marcard, G Pons-Moll, B Rosenhahn","IEEE transactions on pattern analysis and machine intelligence 38 (8), 1533-1547, 2016",155,2016
Gerard Pons-Moll,Multisensor-fusion for 3d full-body human motion capture,"G Pons-Moll, A Baak, T Helten, M Müller, HP Seidel, B Rosenhahn","2010 IEEE Computer Society Conference on Computer Vision and Pattern …, 2010",153,2010
Gerard Pons-Moll,In the wild human pose estimation using explicit 2d features and intermediate 3d representations,"I Habibie, W Xu, D Mehta, G Pons-Moll, C Theobalt","Proceedings of the IEEE/CVF conference on computer vision and pattern …, 2019",144,2019
Gerard Pons-Moll,Smplicit: Topology-aware generative model for clothed people,"E Corona, A Pumarola, G Alenya, G Pons-Moll, F Moreno-Noguer","Proceedings of the IEEE/CVF conference on computer vision and pattern …, 2021",133,2021
Gerard Pons-Moll,Kinematic 3d object detection in monocular video,"G Brazil, G Pons-Moll, X Liu, B Schiele","Computer Vision–ECCV 2020: 16th European Conference, Glasgow, UK, August 23 …, 2020",129,2020
Gerard Pons-Moll,Stereo radiance fields (srf): Learning view synthesis for sparse views of novel scenes,"J Chibane, A Bansal, V Lazova, G Pons-Moll","Proceedings of the IEEE/CVF Conference on Computer Vision and Pattern …, 2021",128,2021
Gerard Pons-Moll,360-degree textures of people in clothing from a single image,"V Lazova, E Insafutdinov, G Pons-Moll","2019 International Conference on 3D Vision (3DV), 643-653, 2019",116,2019
Gerard Pons-Moll,Outdoor human motion capture using inverse kinematics and von mises-fisher sampling,"G Pons-Moll, A Baak, J Gall, L Leal-Taixe, M Mueller, HP Seidel, ...","2011 International Conference on Computer Vision, 1243-1250, 2011",106,2011
Gerard Pons-Moll,Simulcap: Single-view human performance capture with cloth simulation,"T Yu, Z Zheng, Y Zhong, J Zhao, Q Dai, G Pons-Moll, Y Liu","Proceedings of the IEEE/CVF conference on computer vision and pattern …, 2019",103,2019
Gerard Pons-Moll,Learning to transfer texture from clothing images to 3d humans,"A Mir, T Alldieck, G Pons-Moll","Proceedings of the IEEE/CVF Conference on Computer Vision and Pattern …, 2020",99,2020
Gerard Pons-Moll,Data-driven physics for human soft tissue animation,"M Kim, G Pons-Moll, S Pujades, S Bang, J Kim, MJ Black, SH Lee","ACM Transactions on Graphics (TOG) 36 (4), 1-12, 2017",98,2017
Gerard Pons-Moll,"Loopreg: Self-supervised learning of implicit surface correspondences, pose and shape for 3d human mesh registration","BL Bhatnagar, C Sminchisescu, C Theobalt, G Pons-Moll","Advances in Neural Information Processing Systems 33, 12909-12922, 2020",96,2020
Gerard Pons-Moll,Branch-and-price global optimization for multi-view multi-target tracking,"L Leal-Taixé, G Pons-Moll, B Rosenhahn","2012 IEEE Conference on Computer Vision and Pattern Recognition, 1987-1994, 2012",94,2012
Gerard Pons-Moll,Neural-gif: Neural generalized implicit functions for animating people in clothing,"G Tiwari, N Sarafianos, T Tung, G Pons-Moll","Proceedings of the IEEE/CVF International Conference on Computer Vision …, 2021",88,2021
Gerard Pons-Moll,Sizer: A dataset and model for parsing 3d clothing and learning size sensitive 3d clothing,"G Tiwari, BL Bhatnagar, T Tung, G Pons-Moll","Computer Vision–ECCV 2020: 16th European Conference, Glasgow, UK, August 23 …, 2020",88,2020
Gerard Pons-Moll,Real-time deep dynamic characters,"M Habermann, L Liu, W Xu, M Zollhoefer, G Pons-Moll, C Theobalt","ACM Transactions on Graphics (ToG) 40 (4), 1-16, 2021",80,2021
Gerard Pons-Moll,Posebits for monocular human pose estimation,"G Pons-Moll, DJ Fleet, B Rosenhahn","Proceedings of the IEEE Conference on Computer Vision and Pattern …, 2014",79,2014
Gerard Pons-Moll,Human poseitioning system (hps): 3d human pose estimation and self-localization in large scenes from body-mounted sensors,"V Guzov, A Mir, T Sattler, G Pons-Moll","Proceedings of the IEEE/CVF Conference on Computer Vision and Pattern …, 2021",76,2021
Gerard Pons-Moll,Behave: Dataset and method for tracking human object interactions,"BL Bhatnagar, X Xie, IA Petrov, C Sminchisescu, C Theobalt, G Pons-Moll","Proceedings of the IEEE/CVF Conference on Computer Vision and Pattern …, 2022",70,2022
Gerard Pons-Moll,Unsupervised shape and pose disentanglement for 3d meshes,"K Zhou, BL Bhatnagar, G Pons-Moll","Computer Vision–ECCV 2020: 16th European Conference, Glasgow, UK, August 23 …, 2020",60,2020
Gerard Pons-Moll,Model-based pose estimation,"G Pons-Moll, B Rosenhahn","Visual Analysis of Humans: Looking at People, 139-170, 2011",58,2011
Gerard Pons-Moll,Learning speech-driven 3d conversational gestures from video,"I Habibie, W Xu, D Mehta, L Liu, HP Seidel, G Pons-Moll, M Elgharib, ...","Proceedings of the 21st ACM International Conference on Intelligent Virtual …, 2021",57,2021
Gerard Pons-Moll,Metric regression forests for correspondence estimation,"G Pons-Moll, J Taylor, J Shotton, A Hertzmann, A Fitzgibbon","International Journal of Computer Vision 113, 163-175, 2015",55,2015
