author_name,title,authors,publication,cited_by_value,year
Hendrik P. A. Lensch,Image-based reconstruction of spatial appearance and geometric detail,"HPA Lensch, J Kautz, M Goesele, W Heidrich, HP Seidel","ACM Transactions on Graphics (TOG) 22 (2), 234-257, 2003",440,2003
Hendrik P. A. Lensch,Dual photography,"P Sen, B Chen, G Garg, SR Marschner, M Horowitz, M Levoy, ...","ACM SIGGRAPH 2005 Papers, 745-755, 2005",439,2005
Hendrik P. A. Lensch,Nerd: Neural reflectance decomposition from image collections,"M Boss, R Braun, V Jampani, JT Barron, C Liu, H Lensch","Proceedings of the IEEE/CVF International Conference on Computer Vision …, 2021",317,2021
Hendrik P. A. Lensch,Polarization and phase-shifting for 3D scanning of translucent objects,"T Chen, HPA Lensch, C Fuchs, HP Seidel","2007 IEEE conference on computer vision and pattern recognition, 1-8, 2007",256,2007
Hendrik P. A. Lensch,Optimal HDR reconstruction with linear digital cameras,"M Granados, B Ajdin, M Wand, C Theobalt, HP Seidel, HPA Lensch","2010 IEEE computer society conference on computer vision and pattern …, 2010",243,2010
Hendrik P. A. Lensch,Transparent and specular object reconstruction,"I Ihrke, KN Kutulakos, HPA Lensch, M Magnor, W Heidrich","Computer Graphics Forum 29 (8), 2400-2426, 2010",228,2010
Hendrik P. A. Lensch,Image-based reconstruction of spatially varying materials,"HPA Lensch, J Kautz, M Goesele, W Heidrich, HP Seidel","Rendering Techniques 2001: Proceedings of the Eurographics Workshop in …, 2001",224,2001
Hendrik P. A. Lensch,The Frankencamera: an experimental platform for computational photography,"A Adams, EV Talvala, SH Park, DE Jacobs, B Ajdin, N Gelfand, J Dolson, ...","ACM SIGGRAPH 2010 papers, 1-12, 2010",215,2010
Hendrik P. A. Lensch,Disco: acquisition of translucent objects,"M Goesele, HPA Lensch, J Lang, C Fuchs, HP Seidel","ACM SIGGRAPH 2004 Papers, 835-844, 2004",205,2004
Hendrik P. A. Lensch,Automated texture registration and stitching for real world models,"HPA Lensch, W Heidrich, HP Seidel","Proceedings the Eighth Pacific Conference on Computer Graphics and …, 2000",188,2000
Hendrik P. A. Lensch,A silhouette-based algorithm for texture registration and stitching,"HPA Lensch, W Heidrich, HP Seidel","Graphical Models 63 (4), 245-262, 2001",185,2001
Hendrik P. A. Lensch,Principles of appearance acquisition and representation,"T Weyrich, J Lawrence, HPA Lensch, S Rusinkiewicz, T Zickler","Foundations and Trends® in Computer Graphics and Vision 4 (2), 75-191, 2009",184,2009
Hendrik P. A. Lensch,Edge-avoiding a-trous wavelet transform for fast global illumination filtering,"H Dammertz, D Sewtz, J Hanika, HPA Lensch","Proceedings of the Conference on High Performance Graphics, 67-75, 2010",161,2010
Hendrik P. A. Lensch,3D acquisition of mirroring objects using striped patterns,"M Tarini, HPA Lensch, M Goesele, HP Seidel","Graphical Models 67 (4), 233-259, 2005",155,2005
