author_name,title,authors,publication,cited_by_value,year
Jakob Macke,Painfree and accurate Bayesian estimation of psychometric functions for (potentially) overdispersed data,"HH Schütt, S Harmeling, JH Macke, FA Wichmann","Vision research 122, 105-123, 2016",311,2016
Jakob Macke,Empirical models of spiking in neural populations,"JH Macke, L Buesing, JP Cunningham, BM Yu, KV Shenoy, M Sahani","Advances in Neural Information Processing Systems 24, 2011",255,2011
Jakob Macke,Generating spike trains with specified correlation coefficients,"JH Macke, P Berens, AS Ecker, AS Tolias, M Bethge","Neural Computation 21 (2), 397-423, 2009",234,2009
Jakob Macke,Automatic Posterior Transformation for Likelihood-Free Inference,"Greenberg D. S., Nonnenmacher M., Macke J. H.","Proceedings of the 36th International Conference on Machine Learning, ICML …, 2019",229,2019
Jakob Macke,Neural population coding: combining insights from microscopic and mass signals,"S Panzeri, JH Macke, J Gross, C Kayser","Trends in cognitive sciences 19 (3), 162-172, 2015",224,2015
Jakob Macke,Crowdsourced analysis of clinical trial data to predict amyotrophic lateral sclerosis progression,"R Küffner, N Zach, R Norel, J Hawe, D Schoenfeld, L Wang, G Li, L Fang, ...","Nature biotechnology 33 (1), 51-57, 2015",202,2015
Jakob Macke,Flexible statistical inference for mechanistic models of neural dynamics,"JM Lueckmann, PJ Goncalves, G Bassetto, K Öcal, M Nonnenmacher, ...","Advances in neural information processing systems 30, 2017",195,2017
Jakob Macke,Intrinsic dimension of data representations in deep neural networks,"A Ansuini, A Laio, JH Macke, Z D","Advances in Neural Information Processing Systems 32 (Neurips 2019), 2019",194,2019
Jakob Macke,Quantifying the effect of intertrial dependence on perceptual decisions,"I Fründ, FA Wichmann, JH Macke","Journal of vision 14 (7), 9-9, 2014",190,2014
Jakob Macke,Inferring decoding strategies from choice probabilities in the presence of correlated variability,"RM Haefner, S Gerwinn, JH Macke, M Bethge","Nature neuroscience 16 (2), 235-242, 2013",171,2013
Jakob Macke,sbi: A toolkit for simulation-based inference,"A Tejero-Cantero, J Boelts, M Deistler, JM Lueckmann, C Durkan, ...","Journal of Open Source Software 5 (52), 2505, 2020",152,2020
Jakob Macke,Training deep neural density estimators to identify mechanistic models of neural dynamics,"PJ Gonçalves, JM Lueckmann, M Deistler, M Nonnenmacher, K Öcal, ...","elife 9 (e56261), 2020",142,2020
Jakob Macke,Community-based benchmarking improves spike rate inference from two-photon calcium imaging data,"P Berens, J Freeman, T Deneux, N Chenkov, T McColgan, A Speiser, ...","PLoS computational biology 14 (5), e1006157, 2018",128,2018
Jakob Macke,Deep learning enables fast and dense single-molecule localization with high accuracy,"A Speiser, LR Müller, P Hoess, U Matti, CJ Obara, WR Legant, A Kreshuk, ...","Nature methods 18 (9), 1082-1090, 2021",124,2021
Jakob Macke,Benchmarking Simulation-Based Inference,"JM Lueckmann, J Boelts, D Greenberg, P Goncalves, JH Macke","International Conference on Artificial Intelligence and Statistics, 343-351, 2021",122,2021
Jakob Macke,Real-time gravitational wave science with neural posterior estimation,"M Dax, SR Green, J Gair, JH Macke, A Buonanno, B Schölkopf","Physical review letters 127 (24), 241103, 2021",120,2021
Jakob Macke,Common Input Explains Higher-Order Correlations and Entropy in a Simple Model of Neural Population Activity,"JH Macke, M Opper, M Bethge","Physical Review Letters 106 (20), 208102, 2011",114,2011
Jakob Macke,Likelihood-free inference with emulator networks,"JHM Jan-Matthis Lueckmann, Giacomo Bassetto, Theofanis Karaletsos","Proceedings of The 1st Symposium on Advances in Approximate Bayesian …, 2019",111,2019
Jakob Macke,Analyzing biological and artificial neural networks: challenges with opportunities for synergy?,"DGT Barrett, AS Morcos, JH Macke","Current opinion in neurobiology 55, 55-64, 2019",109,2019
Jakob Macke,Bayesian inference for generalized linear models for spiking neurons,"S Gerwinn, JH Macke, M Bethge","Frontiers in computational neuroscience 4, 2010",81,2010
Jakob Macke,Contour-propagation algorithms for semi-automated reconstruction of neural processes,"JH Macke, N Maack, R Gupta, W Denk, B Schölkopf, A Borst","Journal of neuroscience methods 167 (2), 349-357, 2008",80,2008
Jakob Macke,Spectral learning of linear dynamics from generalised-linear observations with application to neural population data,"L Buesing, JH Macke, M Sahani","Advances in neural information processing systems 25, 2012",76,2012
Jakob Macke,Comparison of pattern recognition methods in classifying high-resolution BOLD signals obtained at high magnetic field in monkeys,"S Ku, A Gretton, J Macke, NK Logothetis","Magnetic resonance imaging 26 (7), 1007-1014, 2008",72,2008
Jakob Macke,Simulation Intelligence: Towards a New Generation of Scientific Methods,"A Lavin, H Zenil, B Paige, D Krakauer, J Gottschlich, T Mattson, ...","arXiv preprint arXiv:2112.03235, 2021",68,2021
Jakob Macke,Low-dimensional models of neural population activity in sensory cortical circuits,"EW Archer, U Koster, JW Pillow, JH Macke","Advances in neural information processing systems 27, 2014",64,2014
Jakob Macke,Fast amortized inference of neural activity from calcium imaging data with variational autoencoders,"A Speiser, J Yan, EW Archer, L Buesing, SC Turaga, JH Macke","Advances in neural information processing systems 30, 2017",58,2017
Jakob Macke,"Learning stable, regularised latent models of neural population dynamics","L Buesing, JH Macke, M Sahani","Network: Computation in Neural Systems 23 (1-2), 24-47, 2012",57,2012
Jakob Macke,Estimating state and parameters in state space models of spike trains,"JH Macke, L Buesing, M Sahani","Advanced state space methods for neural and clinical data 137, 2015",50,2015
Jakob Macke,Can serial dependencies in choices and neural activity explain choice probabilities?,"JM Lueckmann, JH Macke, H Nienborg","Journal of Neuroscience 38 (14), 3495-3506, 2018",42,2018
Jakob Macke,Temporal jitter of the BOLD signal reveals a reliable initial dip and improved spatial resolution,"M Watanabe, A Bartels, JH Macke, Y Murayama, NK Logothetis","Current Biology 23 (21), 2146-2150, 2013",42,2013
Jakob Macke,Inferring neural population dynamics from multiple partial recordings of the same neural circuit,"S Turaga, L Buesing, AM Packer, H Dalgleish, N Pettit, M Hausser, ...","Advances in Neural Information Processing Systems 26, 2013",40,2013
Jakob Macke,Signatures of criticality arise from random subsampling in simple population models,"M Nonnenmacher, C Behrens, P Berens, M Bethge, JH Macke","PLoS computational biology 13 (10), e1005718, 2017",39,2017
