author_name,title,authors,publication,cited_by_value,year
Katherine J. Kuchenbecker,Towards semi-automated pleural cavity access for pneumothorax in austere environments,"R L'Orsa, S Lama, D Westwick, G Sutherland, KJ Kuchenbecker","Acta Astronautica 212, 48-53, 2023",,2023
Katherine J. Kuchenbecker,Learning to estimate palpation forces in robotic surgery from visual-inertial data,"YE Lee, HM Husin, MP Forte, SW Lee, KJ Kuchenbecker","IEEE Transactions on Medical Robotics and Bionics, 2023",1,2023
Katherine J. Kuchenbecker,"Delft, Netherlands","M Wiertlewski, AML Kappers, F Bello, S Choi, KJ Kuchenbecker, ...",,,2023
Katherine J. Kuchenbecker,Naturalistic Vibrotactile Feedback Could Facilitate Telerobotic Assembly on Construction Sites,"Y Gong, B Javot, APR Lauer, O Sawodny, KJ Kuchenbecker","2023 IEEE World Haptics Conference (WHC), 169-175, 2023",,2023
Katherine J. Kuchenbecker,Generating Clear Vibrotactile Cues with a Magnet Embedded in a Soft Finger Sheath,"I Gertler, G Serhat, KJ Kuchenbecker","Soft Robotics 10 (3), 624-635, 2023",1,2023
Katherine J. Kuchenbecker,Surface Perception through Haptic-Auditory Contact Data,"B Khojasteh, Y Shao, KJ Kuchenbecker","Embracing Contacts-Workshop at ICRA 2023, 2023",,2023
Katherine J. Kuchenbecker,Minsight: A Fingertip‐Sized Vision‐Based Tactile Sensor for Robotic Manipulation,"I Andrussow, H Sun, KJ Kuchenbecker, G Martius","Advanced Intelligent Systems, 2300042, 2023",3,2023
Katherine J. Kuchenbecker,Effects of automated skill assessment on robotic surgery training,"JD Brown, KJ Kuchenbecker","The International Journal of Medical Robotics and Computer Assisted Surgery …, 2023",1,2023
Katherine J. Kuchenbecker,The S-BAN: Insights into the Perception of Shape-Changing Haptic Interfaces via Virtual Pedestrian Navigation,"A Spiers, E Young, KJ Kuchenbecker","ACM Transactions on Computer-Human Interaction 30 (1), 1-31, 2023",4,2023
Katherine J. Kuchenbecker,In the arms of a robot: Designing autonomous hugging robots with intra-hug gestures,"AE Block, H Seifi, O Hilliges, R Gassert, KJ Kuchenbecker","ACM Transactions on Human-Robot Interaction 12 (2), 1-49, 2023",13,2023
Katherine J. Kuchenbecker,Multimodal multi-user surface recognition with the kernel two-sample test,"B Khojasteh, F Solowjow, S Trimpe, KJ Kuchenbecker","arXiv preprint arXiv:2303.04930, 2023",3,2023
Katherine J. Kuchenbecker,Haptic Feedback of Tool Vibrations Facilitates Telerobotic Construction,"Y Gong, HM Husin, E Erol, V Ortenzi, KJ Kuchenbecker","arXiv preprint arXiv:2302.00741, 2023",1,2023
Katherine J. Kuchenbecker,Reconstructing Signing Avatars From Video Using Linguistic Priors,"MP Forte, P Kulits, CHP Huang, V Choutas, D Tzionas, KJ Kuchenbecker, ...","Proceedings of the IEEE/CVF Conference on Computer Vision and Pattern …, 2023",4,2023
Katherine J. Kuchenbecker,A Lasting Impact: Using Second-Order Dynamics to Customize the Continuous Emotional Expression of a Social Robot,"RB Burns, KJ Kuchenbecker",,,2023
Katherine J. Kuchenbecker,Haptify: A Measurement-Based Benchmarking System for Grounded Force-Feedback Devices,"F Fazlollahi, KJ Kuchenbecker","IEEE Transactions on Robotics 39 (2), 1622-1636, 2022",1,2022
Katherine J. Kuchenbecker,The utility of synthetic reflexes and haptic feedback for upper-limb prostheses in a dexterous task without direct vision,"N Thomas, F Fazlollahi, KJ Kuchenbecker, JD Brown","IEEE Transactions on Neural Systems and Rehabilitation Engineering 31, 169-179, 2022",4,2022
Katherine J. Kuchenbecker,Learning to feel textures: Predicting perceptual similarities from unconstrained finger-surface interactions,"BA Richardson, Y Vardar, C Wallraven, KJ Kuchenbecker","IEEE Transactions on Haptics 15 (4), 705-717, 2022",6,2022
Katherine J. Kuchenbecker,Wrist-Squeezing Force Feedback Improves Accuracy and Speed in Robotic Surgery Training,"S Machaca, E Cao, A Chi, G Adrales, KJ Kuchenbecker, JD Brown","2022 9th IEEE RAS/EMBS International Conference for Biomedical Robotics and …, 2022",2,2022
Katherine J. Kuchenbecker,Contact evolution of dry and hydrated fingertips at initial touch,"G Serhat, Y Vardar, KJ Kuchenbecker","PLoS One 17 (7), e0269722, 2022",5,2022
Katherine J. Kuchenbecker,Dense 3D Reconstruction Through Lidar: a New Perspective on Computer-Integrated Surgery,"G Caccianiga, KJ Kuchenbecker","EasyChair, 2022",,2022
Katherine J. Kuchenbecker,Larger Skin-Surface Contact Through a Fingertip Wearable Improves Roughness Perception,"D Gueorguiev, B Javot, A Spiers, KJ Kuchenbecker","International Conference on Human Haptic Sensing and Touch Enabled Computer …, 2022",2,2022
Katherine J. Kuchenbecker,Normal and tangential forces combine to convey contact pressure during dynamic tactile stimulation,"D Gueorguiev, J Lambert, JL Thonnard, KJ Kuchenbecker","Scientific Reports 12 (1), 8215, 2022",1,2022
Katherine J. Kuchenbecker,Predicting knee adduction moment response to gait retraining with minimal clinical data,"N Rokhmanova, KJ Kuchenbecker, PB Shull, R Ferber, E Halilaj","PLOS Computational Biology 18 (5), e1009500, 2022",2,2022
Katherine J. Kuchenbecker,Perceptual Space of Algorithms for Three-to-One Dimensional Reduction of Realistic Vibrations,"H Lee, GI Tombak, G Park, KJ Kuchenbecker","IEEE Transactions on Haptics 15 (3), 521-534, 2022",3,2022
Katherine J. Kuchenbecker,Endowing a Nao robot with practical social-touch perception,"RB Burns, H Lee, H Seifi, R Faulkner, KJ Kuchenbecker","Frontiers in Robotics and AI 9, 840335, 2022",8,2022
Katherine J. Kuchenbecker,Design of interactive augmented reality functions for robotic surgery and evaluation in dry‐lab lymphadenectomy,"MP Forte, R Gourishetti, B Javot, T Engler, ED Gomez, KJ Kuchenbecker","The International Journal of Medical Robotics and Computer Assisted Surgery …, 2022",7,2022
Katherine J. Kuchenbecker,Predicting the force map of an ERT-based tactile sensor using simulation and deep networks,"H Lee, H Sun, H Park, G Serhat, B Javot, G Martius, KJ Kuchenbecker","IEEE Transactions on Automation Science and Engineering 20 (1), 425-439, 2022",12,2022
Katherine J. Kuchenbecker,Sensor Patterns Dataset for Endowing a NAO Robot with Practical Social-Touch Perception,"R Bevill Burns, H Lee, H Seifi, R Faulkner, KJ Kuchenbecker","MPDL, 2022",,2022
Katherine J. Kuchenbecker,"Robot, pass me the tool: handle visibility facilitates task-oriented handovers","V Ortenzi, M Filipovica, D Abdlkarim, T Pardi, C Takahashi, AM Wing, ...","2022 17th ACM/IEEE International Conference on Human-Robot Interaction (HRI …, 2022",8,2022
Katherine J. Kuchenbecker,A soft thumb-sized vision-based sensor with accurate all-round force perception,"H Sun, KJ Kuchenbecker, G Martius","Nature Machine Intelligence 4 (2), 135-145, 2022",62,2022
Katherine J. Kuchenbecker,Contact evolution of dry and hydrated fingertips at initial touch,"Y Vardar, KJ Kuchenbecker",,,2022
Katherine J. Kuchenbecker,Evaluation of vibrotactile output from a rotating motor actuator,"R Gourishetti, KJ Kuchenbecker","IEEE Transactions on Haptics 15 (1), 39-44, 2021",3,2021
Katherine J. Kuchenbecker,Virtual reality treatment displaying the missing leg improves phantom limb pain: a small clinical trial,"E Ambron, LJ Buxbaum, A Miller, H Stoll, KJ Kuchenbecker, HB Coslett","Neurorehabilitation and neural repair 35 (12), 1100-1111, 2021",20,2021
Katherine J. Kuchenbecker,A brake-based overground gait rehabilitation device for altering propulsion impulse symmetry,"S Hu, K Fjeld, EV Vasudevan, KJ Kuchenbecker","Sensors 21 (19), 6617, 2021",1,2021
Katherine J. Kuchenbecker,Sensorimotor-inspired tactile feedback and control improve consistency of prosthesis manipulation in the absence of direct vision,"N Thomas, F Fazlollahi, JD Brown, KJ Kuchenbecker","2021 IEEE/RSJ International Conference on Intelligent Robots and Systems …, 2021",8,2021
