author_name,title,authors,publication,cited_by_value,year
Martin V. Butz,An algorithmic description of XCS,"MV Butz, SW Wilson","Soft Computing 6, 144-153, 2002",702,2002
Martin V. Butz,Toward a theory of generalization and learning in XCS,"MV Butz, T Kovacs, PL Lanzi, SW Wilson","IEEE transactions on evolutionary computation 8 (1), 28-46, 2004",285,2004
Martin V. Butz,Rule-based evolutionary online learning systems,MV Butz,"Springer-Verlag, 2006",230,2006
Martin V. Butz,"Function approximation with XCS: Hyperellipsoidal conditions, recursive least squares, and compaction","MV Butz, PL Lanzi, SW Wilson","IEEE Transactions on Evolutionary Computation 12 (3), 355-376, 2008",136,2008
Martin V. Butz,"Analysis and improvement of fitness exploitation in XCS: Bounding models, tournament selection, and bilateral accuracy","MV Butz, DE Goldberg, K Tharakunnel","Evolutionary Computation 11 (3), 2003",129,2003
Martin V. Butz,The 2009 simulated car racing championship,"D Loiacono, PL Lanzi, J Togelius, E Onieva, DA Pelta, MV Butz, ...","IEEE Transactions on Computational Intelligence and AI in Games 2 (2), 131-147, 2010",128,2010
Martin V. Butz,"Anticipatory behavior in adaptive learning systems: Foundations, Theories, and Systems","MV Butz, O Sigaud, P Gérard","Springer-Verlag Berlin Heidelberg, 2003",128,2003
Martin V. Butz,Anticipatory learning classifier systems,MV Butz,"Springer Science & Business Media, 2002",126,2002
Martin V. Butz,Internal models and anticipations in adaptive learning systems,"MV Butz, O Sigaud, P Gerard","Anticipatory behavior in adaptive learning systems: Foundations, theories …, 2003",122,2003
Martin V. Butz,Anticipatory behavior: Exploiting knowledge about the future to improve current behavior,"MV Butz, O Sigaud, P Gérard","Anticipatory behavior in adaptive learning systems: Foundations, theories …, 2003",119,2003
Martin V. Butz,Gradient descent methods in learning classifier systems: Improving XCS performance in multistep problems,"MV Butz, DE Goldberg, PL Lanzi","IEEE Transactions on Evolutionary Computation 9 (5), 452-473, 2005",110,2005
Martin V. Butz,Data mining in learning classifier systems: comparing XCS with GAssist,"J Bacardit, MV Butz","International Workshop on Learning Classifier Systems, 282-290, 2003",108,2003
Martin V. Butz,How XCS evolves accurate classifiers,"MV Butz, T Kovacs, PL Lanzi, SW Wilson","Proceedings of the Third Genetic and Evolutionary Computation Conference …, 2001",104,2001
Martin V. Butz,Exploiting redundancy for flexible behavior: unsupervised learning in a modular sensorimotor control architecture.,"MV Butz, O Herbort, J Hoffmann","Psychological Review 114 (4), 1015, 2007",101,2007
Martin V. Butz,Tournament selection: Stable fitness pressure in XCS,"MV Butz, K Sastry, DE Goldberg","Genetic and Evolutionary Computation Conference, 1857-1869, 2003",94,2003
Martin V. Butz,"Kernel-based, ellipsoidal conditions in the real-valued XCS classifier system",MV Butz,"Proceedings of the 7th annual conference on Genetic and evolutionary …, 2005",91,2005
Martin V. Butz,Training computational thinking: Game-based unplugged and plugged-in activities in primary school,"K Tsarava, K Moeller, N Pinkwart, M Butz, U Trautwein, M Ninaus","European conference on games based learning, 687-695, 2017",86,2017
Martin V. Butz,Vehicle with computing means for monitoring and predicting traffic participant objects,"J Fritsch, M Butz, A Andreas","US Patent 9,104,965, 2015",84,2015
Martin V. Butz,Habitual and goal-directed factors in (everyday) object handling,"O Herbort, MV Butz","Experimental Brain Research 213, 371-382, 2011",83,2011
Martin V. Butz,Toward a unified sub-symbolic computational theory of cognition,MV Butz,"Frontiers in psychology 7, 925, 2016",81,2016
Martin V. Butz,An algorithmic description of ACS2,"MV Butz, W Stolzmann","International Workshop on Learning Classifier Systems, 211-229, 2001",78,2001
Martin V. Butz,Optimized sensory-motor couplings plus strategy extensions for the torcs car racing challenge,"MV Butz, TD Lonneker","2009 IEEE symposium on computational intelligence and games, 317-324, 2009",70,2009
Martin V. Butz,Automated global structure extraction for effective local building block processing in XCS,"MV Butz, M Pelikan, X Llora, DE Goldberg","Evolutionary Computation 14 (3), 345-380, 2006",68,2006
Martin V. Butz,Anticipations control behavior: Animal behavior in an anticipatory learning classifier system,"MV Butz, J Hoffmann","SAGE Publications 10 (2), 75-96, 2002",67,2002
Martin V. Butz,Balanced echo state networks,"D Koryakin, J Lohmann, MV Butz","Neural Networks 36, 35-45, 2012",65,2012
Martin V. Butz,How the mind comes into being: Introducing cognitive science from a functional and computational perspective,"MV Butz, EF Kutter","Oxford University Press, 2016",64,2016
Martin V. Butz,XCSJava 1.0: An Implementation of the XCS classi£ er system in Java,MV Butz,"Technical Report 2000027, Illinois Genetic Algorithms Laboratory, 2000",63,2000
Martin V. Butz,"Rule-based evolutionary online learning systems: learning bounds, classification, and prediction",MV Butz,"University of Illinois at Urbana-Champaign, 2004",61,2004
Martin V. Butz,Substructural neighborhoods for local search in the Bayesian optimization algorithm,"CF Lima, M Pelikan, K Sastry, M Butz, DE Goldberg, FG Lobo","Parallel Problem Solving from Nature-PPSN IX: 9th International Conference …, 2006",60,2006
Martin V. Butz,Introducing a Genetic Generalization Pressure to the Anticipatory Classifier System-Part 1: Theoretical approach.,"MV Butz, DE Goldberg, W Stolzmann","GECCO, 42-49, 2000",60,2000
Martin V. Butz,It's in the eyes: Planning precise manual actions before execution,"A Belardinelli, MY Stepper, MV Butz","Journal of vision 16 (1), 18-18, 2016",59,2016
Martin V. Butz,Explorations of anticipatory behavioral control (ABC): A report from the cognitive psychology unit of the University of Würzburg,"J Hoffmann, M Berner, MV Butz, O Herbort, A Kiesel, W Kunde, A Lenhard","Cognitive Processing 8, 133-142, 2007",59,2007
Martin V. Butz,"Strong, stable, and reliable fitness pressure in XCS due to tournament selection","MV Butz, K Sastry, DE Goldberg","Genetic Programming and Evolvable Machines 6, 53-77, 2005",58,2005
Martin V. Butz,Analyzing the evolutionary pressures in XCS,"MV Butz, M Pelikan","Proceedings of the genetic and evolutionary computation conference (GECCO …, 2001",58,2001
Martin V. Butz,"Learning, planning, and control in a monolithic neural event inference architecture","MV Butz, D Bilkey, D Humaidan, A Knott, S Otte","Neural Networks 117, 135-144, 2019",56,2019
Martin V. Butz,The continuous end-state comfort effect: weighted integration of multiple biases,"O Herbort, MV Butz","Psychological research 76, 345-363, 2012",56,2012
Martin V. Butz,A cognitive definition of computational thinking in primary education,"K Tsarava, K Moeller, M Román-González, J Golle, L Leifheit, MV Butz, ...","Computers & Education 179, 104425, 2022",54,2022
Martin V. Butz,Planning and control of hand orientation in grasping movements,"O Herbort, MV Butz","Experimental Brain Research 202, 867-878, 2010",53,2010
Martin V. Butz,Context-dependent predictions and cognitive arm control with XCSF,"MV Butz, O Herbort","Proceedings of the 10th annual conference on Genetic and evolutionary …, 2008",51,2008
Martin V. Butz,Speeding-up pittsburgh learning classifier systems: Modeling time and accuracy,"J Bacardit, DE Goldberg, MV Butz, X Llora, JM Garrell","Parallel Problem Solving from Nature-PPSN VIII: 8th International Conference …, 2004",51,2004
Martin V. Butz,Latent learning and action planning in robots with anticipatory classifier systems,"W Stolzmann, M Butz","International Workshop on Learning Classifier Systems, 301-317, 1999",51,1999
Martin V. Butz,Intelligent problem-solving as integrated hierarchical reinforcement learning,"M Eppe, C Gumbsch, M Kerzel, PDH Nguyen, MV Butz, S Wermter","Nature Machine Intelligence 4 (1), 11-20, 2022",50,2022
Martin V. Butz,Performance of evolutionary algorithms on NK landscapes with nearest neighbor interactions and tunable overlap,"M Pelikan, K Sastry, DE Goldberg, MV Butz, M Hauschild","Proceedings of the 11th Annual conference on Genetic and evolutionary …, 2009",50,2009
