author_name,title,authors,publication,cited_by_value,year
Matthias Bethge,Have we built machines that think like people?,"LMS Buschoff, E Akata, M Bethge, E Schulz","arXiv preprint arXiv:2311.16093, 2023",,2023
Matthias Bethge,Modulated Neural ODEs,"IA Auzina, C Yildiz, S Magliacane, M Bethge, E Gavves","Thirty-seventh Conference on Neural Information Processing Systems, 2023",,2023
Matthias Bethge,Does CLIP's Generalization Performance Mainly Stem from High Train-Test Similarity?,"P Mayilvahanan, T Wiedemer, E Rusak, M Bethge, W Brendel","arXiv preprint arXiv:2310.09562, 2023",,2023
Matthias Bethge,Provable Compositional Generalization for Object-Centric Learning,"T Wiedemer, J Brady, A Panfilov, A Juhos, M Bethge, W Brendel","arXiv preprint arXiv:2310.05327, 2023",,2023
Matthias Bethge,Predicting visual fixations,"M Kümmerer, M Bethge","Annual Review of Vision Science 9, 269-291, 2023",2,2023
Matthias Bethge,Modeling internal state changes in free-viewing and visual search scanpaths with gain control in DeepGaze III,"M Kümmerer, M Bethge","Journal of Vision 23 (9), 5334-5334, 2023",,2023
Matthias Bethge,Compositional generalization from first principles,"T Wiedemer, P Mayilvahanan, M Bethge, W Brendel","arXiv preprint arXiv:2307.05596, 2023",2,2023
Matthias Bethge,RDumb: A simple approach that questions our progress in continual test-time adaptation,"O Press, S Schneider, M Kümmerer, M Bethge","arXiv preprint arXiv:2306.05401, 2023",,2023
Matthias Bethge,Contrasting action and posture coding with hierarchical deep neural network models of proprioception,"KJ Sandbrink, P Mamidanna, C Michaelis, M Bethge, MW Mathis, ...","Elife 12, e81499, 2023",3,2023
Matthias Bethge,Playing repeated games with Large Language Models,"E Akata, L Schulz, J Coda-Forno, SJ Oh, M Bethge, E Schulz","arXiv preprint arXiv:2305.16867, 2023",21,2023
Matthias Bethge,Efficient coding of natural scenes improves neural system identification,"Y Qiu, DA Klindt, KP Szatko, D Gonschorek, L Hoefling, T Schubert, ...","PLOS Computational Biology 19 (4), e1011037, 2023",2,2023
