author_name,title,authors,publication,cited_by_value,year
Matthias Hein,Reliable evaluation of adversarial robustness with an ensemble of diverse parameter-free attacks,"F Croce, M Hein","International conference on machine learning, 2206-2216, 2020",1297,2020
Matthias Hein,Simple does it: Weakly supervised instance and semantic segmentation,"A Khoreva, R Benenson, J Hosang, M Hein, B Schiele","Proceedings of the IEEE conference on computer vision and pattern …, 2017",812,2017
Matthias Hein,Latent embeddings for zero-shot classification,"Y Xian, Z Akata, G Sharma, Q Nguyen, M Hein, B Schiele","Proceedings of the IEEE conference on computer vision and pattern …, 2016",788,2016
Matthias Hein,Square attack: a query-efficient black-box adversarial attack via random search,"M Andriushchenko, F Croce, N Flammarion, M Hein","European conference on computer vision, 484-501, 2020",733,2020
Matthias Hein,Formal guarantees on the robustness of a classifier against adversarial manipulation,"M Hein, M Andriushchenko","NIPS 2017, 2017",537,2017
Matthias Hein,Why relu networks yield high-confidence predictions far away from the training data and how to mitigate the problem,"M Hein, M Andriushchenko, J Bitterwolf","Proceedings of the IEEE/CVF Conference on Computer Vision and Pattern …, 2019",497,2019
Matthias Hein,Robustbench: a standardized adversarial robustness benchmark,"F Croce, M Andriushchenko, V Sehwag, E Debenedetti, N Flammarion, ...","arXiv preprint arXiv:2010.09670, 2020",440,2020
Matthias Hein,From graphs to manifolds–weak and strong pointwise consistency of graph Laplacians,"M Hein, JY Audibert, U Von Luxburg","International Conference on Computational Learning Theory, 470-485, 2005",395,2005
Matthias Hein,Minimally distorted adversarial examples with a fast adaptive boundary attack,"F Croce, M Hein","International Conference on Machine Learning, 2196-2205, 2020",375,2020
Matthias Hein,Spectral clustering based on the graph p-Laplacian,"T Bühler, M Hein","Proceedings of the 26th annual international conference on machine learning …, 2009",363,2009
Matthias Hein,Graph laplacians and their convergence on random neighborhood graphs.,"M Hein, JY Audibert, U Luxburg","Journal of Machine Learning Research 8 (6), 2007",331,2007
Matthias Hein,Variants of rmsprop and adagrad with logarithmic regret bounds,"MC Mukkamala, M Hein","International conference on machine learning, 2545-2553, 2017",317,2017
Matthias Hein,The loss surface of deep and wide neural networks,"Q Nguyen, M Hein","International conference on machine learning, 2603-2612, 2017",284,2017
Matthias Hein,Intrinsic dimensionality estimation of submanifolds in Rd,"M Hein, JY Audibert","Proceedings of the 22nd international conference on Machine learning, 289-296, 2005",284,2005
