author_name,title,authors,publication,cited_by_value,year
Michael J. Black,HOLD: Category-agnostic 3D Reconstruction of Interacting Hands and Objects from Video,"Z Fan, M Parelli, ME Kadoglou, M Kocabas, X Chen, MJ Black, O Hilliges","arXiv preprint arXiv:2311.18448, 2023",,2023
Michael J. Black,PoseGPT: Chatting about 3D Human Pose,"Y Feng, J Lin, SK Dwivedi, Y Sun, P Patel, MJ Black","arXiv preprint arXiv:2311.18836, 2023",,2023
Michael J. Black,Parameter-Efficient Orthogonal Finetuning via Butterfly Factorization,"W Liu, Z Qiu, Y Feng, Y Xiu, Y Xue, L Yu, H Feng, Z Liu, J Heo, S Peng, ...","arXiv preprint arXiv:2311.06243, 2023",,2023
Michael J. Black,FLARE: Fast Learning of Animatable and Relightable Mesh Avatars,"S Bharadwaj, Y Zheng, O Hilliges, MJ Black, V Fernandez-Abrevaya","arXiv preprint arXiv:2310.17519, 2023",,2023
Michael J. Black,Ghost on the Shell: An Expressive Representation of General 3D Shapes,"Z Liu, Y Feng, Y Xiu, W Liu, L Paull, MJ Black, B Schölkopf","arXiv preprint arXiv:2310.15168, 2023",,2023
Michael J. Black,PACE: Human and Camera Motion Estimation from in-the-wild Videos,"M Kocabas, Y Yuan, P Molchanov, Y Guo, MJ Black, O Hilliges, J Kautz, ...","arXiv preprint arXiv:2310.13768, 2023",,2023
Michael J. Black,Optimizing the 3D Plate Shape for Proximal Humerus Fractures,"M Keller, M Krall, J Smith, H Clement, AM Kerner, A Gradischar, U Schäfer, ...","International Conference on Medical Image Computing and Computer-Assisted …, 2023",,2023
Michael J. Black,Text-guided generation and editing of compositional 3d avatars,"H Zhang, Y Feng, P Kulits, Y Wen, J Thies, MJ Black","arXiv preprint arXiv:2309.07125, 2023",2,2023
Michael J. Black,Learning disentangled avatars with hybrid 3d representations,"Y Feng, W Liu, T Bolkart, J Yang, M Pollefeys, MJ Black","arXiv preprint arXiv:2309.06441, 2023",2,2023
Michael J. Black,Virtuelle Exposition mit gesundem Gewicht als Behandlungsbaustein für die Anorexia Nervosa,"SC Behrens, J Tesch, P Sun, S Starke, M Black, J Pruccoli, S Zipfel, ...","Adipositas-Ursachen, Folgeerkrankungen, Therapie 17 (03), 142-142, 2023",,2023
Michael J. Black,POCO: 3D Pose and Shape Estimation with Confidence,"SK Dwivedi, C Schmid, H Yi, MJ Black, D Tzionas","arXiv preprint arXiv:2308.12965, 2023",1,2023
Michael J. Black,GRIP: Generating Interaction Poses Using Latent Consistency and Spatial Cues,"O Taheri, Y Zhou, D Tzionas, Y Zhou, D Ceylan, S Pirk, MJ Black","arXiv preprint arXiv:2308.11617, 2023",,2023
Michael J. Black,Tada! text to animatable digital avatars,"T Liao, H Yi, Y Xiu, J Tang, Y Huang, J Thies, MJ Black","arXiv preprint arXiv:2308.10899, 2023",8,2023
Michael J. Black,SCULPT: Shape-Conditioned Unpaired Learning of Pose-dependent Clothed and Textured Human Meshes,"S Sanyal, P Ghosh, J Yang, MJ Black, J Thies, T Bolkart","arXiv preprint arXiv:2308.10638, 2023",,2023
Michael J. Black,SMPL: A skinned multi-person linear model,"M Loper, N Mahmood, J Romero, G Pons-Moll, MJ Black","Seminal Graphics Papers: Pushing the Boundaries, Volume 2, 851-866, 2023",3207,2023
Michael J. Black,Adversarial Likelihood Estimation with One-way Flows,"O Ben-Dov, PS Gupta, V Abrevaya, MJ Black, P Ghosh","arXiv preprint arXiv:2307.09882, 2023",,2023
Michael J. Black,Virtual Reality Exposure to a Healthy Weight Body Is a Promising Adjunct Treatment for Anorexia Nervosa,"SC Behrens, J Tesch, PJB Sun, S Starke, MJ Black, H Schneider, ...","Psychotherapy and Psychosomatics 92 (3), 170-179, 2023",3,2023
Michael J. Black,Generative Proxemics: A Prior for 3D Social Interaction from Images,"L Müller, V Ye, G Pavlakos, M Black, A Kanazawa","arXiv preprint arXiv:2306.09337, 2023",,2023
Michael J. Black,Emotional Speech-Driven Animation with Content-Emotion Disentanglement,"R Daněček, K Chhatre, S Tripathi, Y Wen, MJ Black, T Bolkart","arXiv preprint arXiv:2306.08990, 2023",4,2023
Michael J. Black,AG3D: Learning to Generate 3D Avatars from 2D Image Collections,"A Geiger, O Hilliges, MJ Black, J Yang, X Chen, Z Dong","arXiv, 2023",,2023
Michael J. Black,AG3D: Learning to Generate 3D Avatars from 2D Image Collections,"Z Dong, X Chen, J Yang, MJ Black, O Hilliges, A Geiger","arXiv preprint arXiv:2305.02312, 2023",8,2023
Michael J. Black,TMR: Text-to-Motion Retrieval Using Contrastive 3D Human Motion Synthesis,"M Petrovich, MJ Black, G Varol","arXiv preprint arXiv:2305.00976, 2023",6,2023
Michael J. Black,BARC: Breed-Augmented Regression Using Classification for 3D Dog Reconstruction from Images,"N Rueegg, S Zuffi, K Schindler, MJ Black","International Journal of Computer Vision, 1-16, 2023",,2023
Michael J. Black,Fast-SNARF: A fast deformer for articulated neural fields,"X Chen, T Jiang, J Song, M Rietmann, A Geiger, MJ Black, O Hilliges","IEEE Transactions on Pattern Analysis and Machine Intelligence, 2023",6,2023
Michael J. Black,SINC: Spatial Composition of 3D Human Motions for Simultaneous Action Generation,"N Athanasiou, M Petrovich, MJ Black, G Varol","arXiv preprint arXiv:2304.10417, 2023",1,2023
Michael J. Black,Method and systems for labelling motion-captured points,"MJ Black, N Ghorbani","US Patent App. 17/949,087, 2023",,2023
Michael J. Black,Driven Formation Control of Airships for Cooperative Target Tracking,"E Price, MJ Black, A Ahmad","IEEE Robotics and Automation Letters, 2023",1,2023
Michael J. Black,SmartMocap: Joint Estimation of Human and Camera Motion Using Uncalibrated RGB Cameras,"N Saini, CHP Huang, MJ Black, A Ahmad","IEEE Robotics and Automation Letters, 2023",2,2023
Michael J. Black,Meshdiffusion: Score-based generative 3d mesh modeling,"Z Liu, Y Feng, MJ Black, D Nowrouzezahrai, L Paull, W Liu","arXiv preprint arXiv:2303.08133, 2023",32,2023
Michael J. Black,Synthesizing Physical Character-Scene Interactions,"M Hassan, Y Guo, T Wang, M Black, S Fidler, XB Peng","arXiv preprint arXiv:2302.00883, 2023",11,2023
Michael J. Black,DECO: Dense Estimation of 3D Human-Scene Contact In The Wild,"S Tripathi, A Chatterjee, JC Passy, H Yi, D Tzionas, MJ Black","Proceedings of the IEEE/CVF International Conference on Computer Vision …, 2023",,2023
Michael J. Black,Pairwise Similarity Learning is SimPLE,"Y Wen, W Liu, Y Feng, B Raj, R Singh, A Weller, MJ Black, B Schölkopf","Proceedings of the IEEE/CVF International Conference on Computer Vision …, 2023",,2023
Michael J. Black,ARCTIC: A Dataset for Dexterous Bimanual Hand-Object Manipulation,"Z Fan, O Taheri, D Tzionas, M Kocabas, M Kaufmann, MJ Black, ...","Proceedings of the IEEE/CVF Conference on Computer Vision and Pattern …, 2023",25,2023
