author_name,title,authors,publication,cited_by_value,year
Michael Krone,A multimodal smartwatch-based interaction concept for immersive environments,"M Lang, C Strobel, F Weckesser, D Langlois, E Kasneci, B Kozlíková, ...","Computers & Graphics 117, 85-95, 2023",,2023
Michael Krone,ARGUS: Visualization of AI-Assisted Task Guidance in AR,"S Castelo, J Rulff, E McGowan, B Steers, G Wu, S Chen, I Roman, ...","IEEE Transactions on Visualization and Computer Graphics, 2023",,2023
Michael Krone,InVADo: Interactive Visual Analysis of Molecular Docking Data,"M Schafer, N Brich, J Byska, SM Marques, D Bednar, P Thiel, B Kozlikova, ...","IEEE Transactions on Visualization & Computer Graphics, 1-14, 2023",,2023
Michael Krone,"2D, 2.5 D, or 3D? An Exploratory Study on Multilayer Network Visualisations in Virtual Reality","SP Feyer, B Pinaud, S Kobourov, N Brich, M Krone, A Kerren, M Behrisch, ...","IEEE Transactions on Visualization and Computer Graphics, 2023",,2023
Michael Krone,Perception of Line Attributes for Visualization,"M Krone, A Sterzig, N Lichtenberg, J Wilms, DW Cunningham, K Lawonn","IEEE Transactions on Visualization and Computer Graphics, 2023",,2023
Michael Krone,Perception of Line Attributes for Visualization,"A Sterzik, N Lichtenberg, J Wilms, M Krone, DW Cunningham, K Lawonn","IEEE Transactions on Visualization and Computer Graphics, 2023",1,2023
Michael Krone,"Supplemental Material:"" 2D, 2.5 D, or 3D? An Exploratory Study on Multilayer Network Visualizations in Virtual Reality""","M Krone, SP Feyer, B Pinaud, S Kobourov, N Brich, A Kerren, M Behrisch, ...","arXiv, 2023",,2023
Michael Krone,"Supplemental Material:"" 2D, 2.5 D, or 3D? An Exploratory Study on Multilayer Network Visualizations in Virtual Reality""","SP Feyer, B Pinaud, S Kobourov, N Brich, M Krone, A Kerren, F Schreiber, ...","DaRUS, 2023",,2023
Michael Krone,visMOP–A Visual Analytics Approach for Multi-omics Pathways,"M Krone, N Brich, N Schacherer, M Hoene, C Weigert, R Lehmann","Visualization for Life Sciences, 2023",,2023
Michael Krone,Enhancing molecular visualization: Perceptual evaluation of line variables with application to uncertainty visualization,"A Sterzik, N Lichtenberg, M Krone, D Baum, DW Cunningham, K Lawonn","Computers & Graphics, 2023",2,2023
Michael Krone,visMOP–A Visual Analytics Approach for Multi‐omics Pathways,"N Brich, N Schacherer, M Hoene, C Weigert, R Lehmann, M Krone","Computer Graphics Forum 42 (3), 259-270, 2023",,2023
Michael Krone,Enhancing Vascular Analysis with Distance Visualizations: An Overview and Implementation,"M Krone, J Hombeck, M Meuschke, S Lieb, N Lichtenberg, F Fleisch, ...","arXiv, 2023",,2023
Michael Krone,Enhancing Vascular Analysis with Distance Visualizations: An Overview and Implementation,"J Hombecka, M Meuschke, S Lieb, N Lichtenberg, F Fleisch, M Enderling, ...","arXiv preprint arXiv:2305.06726, 2023",,2023
Michael Krone,Foreword: Special section on Molecular Graphics and Visual Analysis of Molecular Data (MolVA 2023),"M Krone, J Byška, B Sommer","Computers and Graphics 112 (C), 2023",,2023
Michael Krone,Foreword:: Special section on Molecular Graphics and Visual Analysis of Molecular Data (MolVA 2023),"J Byška, M Krone, B Sommer",,,2023
Michael Krone,State of the art of molecular visualization in immersive virtual environments,"D Kuťák, P Vázquez, T Isenberg, M Krone, M Baaden, J Byška, ...","Computer Graphics Forum, 2023",10,2023
Michael Krone,A virtual and mixed reality platform for molecular design & drug discovery-Nanome version 1.24,"J Byška, M Krone, B Sommer",,,2023
Michael Krone,Better Information Visualization Software Through Packages for Data Science Ecosystems,"C Gillmann, M Krone, G Reina, T Wischgoll",,,2023
Michael Krone,Many types of design needed for effective visualizations,"C Gillmann, M Krone, G Reina, T Wischgoll",,,2023
Michael Krone,EuroVis 2023 Posters: Frontmatter,"C Gillmann, M Krone, S Lenti","The Eurographics Association, 2023",,2023
Michael Krone,VisGap 2023: Frontmatter,"C Gillmann, M Krone, G Reina, T Wischgoll","The Eurographics Association, 2023",1,2023
Michael Krone,OmicsTIDE: interactive exploration of trends in multi-omics data,"TA Harbig, J Fratte, M Krone, K Nieselt","Bioinformatics Advances 3 (1), vbac093, 2023",4,2023
Michael Krone,FluxomicsExplorer: Differential visual analysis of Flux Sampling based on Metabolomics,"C Holzapfel, M Hoene, X Zhao, C Hu, C Weigert, A Niess, G Xu, ...","Computers & Graphics 108, 11-21, 2022",1,2022
Michael Krone,Visualization techniques of time-oriented data for the comparison of single patients with multiple patients or cohorts: Scoping review,"J Scheer, A Volkert, N Brich, L Weinert, N Santhanam, M Krone, ...","Journal of medical Internet research 24 (10), e38041, 2022",4,2022
Michael Krone,Visual analytics of multivariate intensive care time series data,"N Brich, C Schulz, J Peter, W Klingert, M Schenk, D Weiskopf, M Krone","Computer Graphics Forum 41 (6), 273-286, 2022",6,2022
Michael Krone,Remote Participants,"J Aerts, E Beauxis-Aussalet, M Behrisch, K Bühler, AT VRVis–Wien, ...","Visualization of Biological Data–From Analysis to Communication, 26, 2022",,2022
Michael Krone,Eurographics Workshop on Visual Computing for Biology and Medicine: Frontmatter,"RG Raidou, B Sommer, TW Kuhlen, M Krone, T Schultz, HY Wu","The Eurographics Association, 2022",,2022
Michael Krone,Comparative Visual Analysis of Molecular Dynamics,"M Bok, M Schäfer, N Brich, K Schreiner, V Fäßler, M Keckeisen, ...",,,2022
Michael Krone,MuSIC: Multi-Sequential Interactive Co-Registration for Cancer Imaging Data based on Segmentation Masks,"T Eichner, E Mörth, KS Wagner-Larsen, NG Lura, IHS Haldorsen, ...","Eurographics Association, 2022",,2022
Michael Krone,Is there a Tornado in Alex’s Blood Flow? A Case Study for Narrative Medical Visualization,"M Krone, TW Kuhlen, RG Raidou, B Sommer",,,2022
Michael Krone,Perceptual Evaluation of Common Line Variables for Displaying Uncertainty on Molecular Surfaces,"A Sterzik, N Lichtenberg, M Krone, DW Cunningham, K Lawonn","Eurographics workshop on visual computing for biology and medicine, 2022",3,2022
Michael Krone,Distance visualizations for vascular structures in desktop and vr: Overview and implementation,"J Hombeck, M Meuschke, S Lieb, N Lichtenberg, R Datta, M Krone, ...","Eurographics Workshop on Visual Computing for Biology and Medicine, 129-1335, 2022",2,2022
Michael Krone,Physical Traces and Digital Stories: Exploring the Connections Between Forensics and Visualization,"C Gillmann, M Krone, G Reina, T Wischgoll",,,2022
Michael Krone,Personal Experiences of Providing and Using Research Prototypes,"C Gillmann, M Krone, G Reina, T Wischgoll",,,2022
Michael Krone,EuroVis 2022 Posters: Frontmatter,"M Krone, S Lenti, J Schmidt","The Eurographics Association, 2022",,2022
Michael Krone,Foreword:: Special section on the Eurographics Workshop on Visual Computing for Biology and Medicine (EG VCBM) 2020,"B Kozlíková, M Krone, K Nieselt, RG Raidou, NN Smit",,,2021
Michael Krone,Foreword to the special section on molecular graphics and visual analysis of molecular data (MolVA 2021),"J Byška, M Krone, B Sommer",,1,2021
Michael Krone,Analyzing the similarity of protein domains by clustering Molecular Surface Maps,"K Schatz, F Frieß, M Schäfer, PCF Buchholz, J Pleiss, T Ertl, M Krone","Computers & Graphics 99, 114-127, 2021",1,2021
Michael Krone,Visual Analysis of Large‐Scale Protein‐Ligand Interaction Data,"K Schatz, JJ Franco‐Moreno, M Schäfer, AS Rose, V Ferrario, J Pleiss, ...","Computer Graphics Forum 40 (6), 394-408, 2021",6,2021
