author_name,title,authors,publication,cited_by_value,year
Nico Pfeifer,Dynamics and durability of HIV-1 neutralization are determined by viral replication,"P Schommers, DS Kim, M Schlotz, C Kreer, R Eggeling, A Hake, ...","Nature Medicine, 1-12, 2023",,2023
Nico Pfeifer,"SARS-CoV-2 trends in Italy, Germany and Portugal and school opening during the period of Omicron variant dominance: a quasi-experimental study","F Bellerba, N Bardeck, M Boehm, O D'Ecclesiis, S Raimondi, E Tomezzoli, ...","International Journal of Infectious Diseases, 2023",,2023
Nico Pfeifer,EuCARE-hospitalised study protocol: a cohort study of patients hospitalised with COVID-19 in the EuCARE project,"P Hedberg, B Varisco, F Bai, A Sönnerborg, P Naucler, N Pfeifer, ...","BMC Infectious Diseases 23 (1), 690, 2023",,2023
Nico Pfeifer,EuCARE-POSTCOVID Study: a multicentre cohort study on long-term post-COVID-19 manifestations,"B Varisco, F Bai, S De Benedittis, A Tavelli, A Cozzi-Lepri, M Sala, ...","BMC Infectious Diseases 23 (1), 684, 2023",,2023
Nico Pfeifer,Inherently interpretable position-aware convolutional motif kernel networks for biological sequencing data,"JC Ditz, B Reuter, N Pfeifer","Scientific Reports 13 (1), 17216, 2023",,2023
Nico Pfeifer,Robust Representation Learning for Privacy-Preserving Machine Learning: A Multi-Objective Autoencoder Approach,"S Ouaari, AB Ünal, M Akgün, N Pfeifer","arXiv preprint arXiv:2309.04427, 2023",,2023
Nico Pfeifer,ppAURORA: Privacy Preserving Area Under Receiver Operating Characteristic and Precision-Recall Curves,"AB Ünal, N Pfeifer, M Akgün","International Conference on Network and System Security, 265-280, 2023",,2023
Nico Pfeifer,Assessing the impact of vaccination and predicting the emergence of the Omicron variant: Modeling the dy-namics of COVID-19 in the Omicron wave,"E Shamsara, F König, N Pfeifer","Statistical Computing 2023, 2, 2023",,2023
Nico Pfeifer,Predicting functional effects of ion channel variants using new phenotypic machine learning methods,"CM Boßelmann, UBS Hedrich, H Lerche, N Pfeifer","PLOS Computational Biology 19 (3), e1010959, 2023",4,2023
Nico Pfeifer,PlasmoFAB: A Benchmark to Foster Machine Learning for Plasmodium falciparum Protein Antigen Candidate Prediction,"JC Ditz, J Wistuba-Hamprecht, T Maier, R Fendel, N Pfeifer, B Reuter","arXiv preprint arXiv:2301.06454, 2023",,2023
Nico Pfeifer,Attentive Variational Information Bottleneck for TCR–peptide interaction prediction,"F Grazioli, P Machart, A Mösch, K Li, LV Castorina, N Pfeifer, MR Min","Bioinformatics 39 (1), btac820, 2023",2,2023
Nico Pfeifer,Bringing the Algorithms to the Data--Secure Distributed Medical Analytics using the Personal Health Train (PHT-meDIC),"MAB Herr, M Graf, P Placzek, F König, F Bötte, T Stickel, D Hieber, ...","arXiv preprint arXiv:2212.03481, 2022",1,2022
Nico Pfeifer,COmic: Convolutional Kernel Networks for Interpretable End-to-End Learning on (Multi-) Omics Data,"JC Ditz, B Reuter, N Pfeifer","arXiv preprint arXiv:2212.02504, 2022",,2022
Nico Pfeifer,Bringing the Algorithms to the Data--Secure Distributed Medical Analytics using the Personal Health Train (PHT-meDIC),"M de Arruda Botelho Herr, M Graf, P Placzek, F König, F Bötte, T Stickel, ...","arXiv e-prints, arXiv: 2212.03481, 2022",1,2022
Nico Pfeifer,Respiratory viruses dynamics and interactions: ten years of surveillance in central Europe,"G Horemheb-Rubio, R Eggeling, N Schmeiβer, N Pfeifer, T Lengauer, ...","BMC public health 22 (1), 1-10, 2022",6,2022
Nico Pfeifer,Molecular Epidemiology of HIV-1 in Eastern Europe and Russia,"MAA van de Klundert, A Antonova, G Di Teodoro, R Ceña Diez, ...","Viruses 14 (10), 2099, 2022",7,2022
Nico Pfeifer,Convolutional Motif Kernel Networks,"N Pfeifer, JC Ditz, B Reuter","arXiv, 2022",,2022
Nico Pfeifer,Durability of omicron-neutralising serum activity after mRNA booster immunisation in older adults,"K Vanshylla, P Tober-Lau, H Gruell, F Münn, R Eggeling, N Pfeifer, NH Le, ...","The Lancet Infectious Diseases 22 (4), 445-446, 2022",36,2022
Nico Pfeifer,CECILIA: Comprehensive Secure Machine Learning Framework,"AB Ünal, M Akgün, N Pfeifer","arXiv preprint arXiv:2202.03023, 2022",1,2022
Nico Pfeifer,Analysis of antibodies from HCV elite neutralizers identifies genetic determinants of broad neutralization,"T Weber, J Potthoff, S Bizu, M Labuhn, L Dold, T Schoofs, M Horning, ...","Immunity, 2022",15,2022
Nico Pfeifer,Learning with phenotypic similarity improves the prediction of functional effects of missense variants in voltage-gated sodium channels,"CM Bosselmann, UBS Hedrich, H Lerche, N Pfeifer","bioRxiv, 2022",2,2022
Nico Pfeifer,Multi-view confounder detection for biomedical studies,"MA Wallner, N Kersten, N Pfeifer","bioRxiv, 2022",,2022
Nico Pfeifer,Insights to HIV-1 coreceptor usage by estimating HLA adaptation with Bayesian generalized linear mixed models,"A Hake, A Germann, C de Beer, A Thielen, M Däumer, W Preiser, ...","bioRxiv, 2022",1,2022
Nico Pfeifer,Efficient privacy-preserving whole-genome variant queries,"M Agkün, N Pfeifer, O Kohlbacher","Bioinformatics, 2022",3,2022
