author_name,title,authors,publication,cited_by_value,year
Oliver Bringmann,Precise Localization Within the GI Tract by Combining Classification of CNNs and Time-Series Analysis of HMMs,"J Werner, C Gerum, M Reiber, J Nick, O Bringmann","International Workshop on Machine Learning in Medical Imaging, 174-183, 2023",,2023
Oliver Bringmann,Using an -based framework for decomposing combinatorial optimization problems to employ NISQ computers,"S Garhofer, O Bringmann","Quantum Information Processing 22 (10), 357, 2023",,2023
Oliver Bringmann,Low-Power Traffic Surveillance using Multiple RGB and Event Cameras: A Survey,"T Fleck, S Pavlitska, S Nitzsche, B Pachideh, F Peccia, SH Ahmed, ...","2023 IEEE International Smart Cities Conference (ISC2), 1-7, 2023",,2023
Oliver Bringmann,Collective PV-RCNN: A Novel Fusion Technique using Collective Detections for Enhanced Local LiDAR-Based Perception,"S Teufel, J Gamerdinger, G Volk, O Bringmann","arXiv preprint arXiv:2309.05380, 2023",,2023
Oliver Bringmann,Attack Simulation and Adaptation in CAN for Training and Evaluation of IDS,"O Bringmann, T Kropf, S Throner, J Laufenberg","2023 IEEE Intelligent Vehicles Symposium (IV), 2023",,2023
Oliver Bringmann,Towards Sustainable Energy Communities: Local Optimization of Battery Usage in P2P Energy Trading,"C Groß, F Gehring, O Bringmann","2023 IEEE International Conference on Omni-layer Intelligent Systems (COINS …, 2023",,2023
Oliver Bringmann,SimPyler: A Compiler-Based Simulation Framework for Machine Learning Accelerators,"Y Braatz, DS Rieber, T Soliman, O Bringmann","2023 IEEE 34th International Conference on Application-specific Systems …, 2023",,2023
Oliver Bringmann,Simulation-driven Latency Estimations for Multi-core Machine Learning Accelerators,"Y Braatz, DS Rieber, T Soliman, O Bringmann","2023 IEEE 5th International Conference on Artificial Intelligence Circuits …, 2023",,2023
Oliver Bringmann,Enhancing Robustness of LiDAR-Based Perception in Adverse Weather using Point Cloud Augmentations,"S Teufel, J Gamerdinger, G Volk, C Gerum, O Bringmann","2023 IEEE Intelligent Vehicles Symposium (IV), 1-6, 2023",1,2023
Oliver Bringmann,Attack Simulation and Adaptation in CAN for Training and Evaluation of IDS,"J Laufenberg, S Throner, T Kropf, O Bringmann","2023 IEEE Intelligent Vehicles Symposium (IV), 1-6, 2023",,2023
Oliver Bringmann,CoLD Fusion: A Real-time Capable Spline-based Fusion Algorithm for Collective Lane Detection,"J Gamerdinger, S Teufel, G Volk, O Bringmann","2023 IEEE Intelligent Vehicles Symposium (IV), 1-8, 2023",1,2023
Oliver Bringmann,Analyzing track management strategies for multi object tracking in cooperative autonomous driving scenarios,"J Gamerdinger, S Teufel, G Volk, AL Rüeck, O Bringmann","at-Automatisierungstechnik 71 (4), 287-294, 2023",,2023
Oliver Bringmann,Scale4Edge-Scaling RISC-V for Edge Applications,"W Ecker, M Krstic, M Ulbricht, A Mauderer, E Jentzsch, A Koch, ...",,,2023
Oliver Bringmann,Integration of a systolic array based hardware accelerator into a DNN operator auto-tuning framework,"FN Peccia, O Bringmann","arXiv preprint arXiv:2212.03034, 2022",1,2022
