author_name,title,authors,publication,cited_by_value,year
Philipp Berens,Generating Realistic Counterfactuals for Retinal Fundus and OCT Images using Diffusion Models,"I Ilanchezian, V Boreiko, L Kühlewein, Z Huang, MS Ayhan, M Hein, ...","arXiv preprint arXiv:2311.11629, 2023",,2023
Philipp Berens,Persistent homology for high-dimensional data based on spectral methods,"S Damrich, P Berens, D Kobak","arXiv preprint arXiv:2311.03087, 2023",,2023
Philipp Berens,Compound models and Pearson residuals for normalization of single-cell RNA-seq data without UMIs,"J Lause, C Ziegenhain, L Hartmanis, P Berens, D Kobak","bioRxiv, 2023",,2023
Philipp Berens,Plasticity of neuronal dynamics in the lateral habenula for cue-punishment associative learning,"M Congiu, S Mondoloni, IS Zouridis, L Schmors, S Lecca, AL Lalive, ...","Molecular Psychiatry, 1-10, 2023",,2023
Philipp Berens,The landscape of biomedical research,"R González-Márquez, L Schmidt, BM Schmidt, P Berens, D Kobak","bioRxiv, 2023.04. 10.536208, 2023",,2023
Philipp Berens,Multitask Learning for Activity Detection in Neovascular Age-Related Macular Degeneration,"MS Ayhan, H Faber, L Kühlewein, W Inhoffen, G Aliyeva, F Ziemssen, ...","Translational Vision Science & Technology 12 (4), 12-12, 2023",2,2023
Philipp Berens,Deep Hypothesis Tests Detect Clinically Relevant Subgroup Shifts in Medical Images,"LM Koch, CM Schürch, CF Baumgartner, A Gretton, P Berens","arXiv preprint arXiv:2303.04862, 2023",,2023
Philipp Berens,"Uncertainty, evidence, and the integration of machine learning into medical practice","T Grote, P Berens","The Journal of Medicine and Philosophy: A Forum for Bioethics and Philosophy …, 2023",9,2023
Philipp Berens,Effects of non-retinal inputs in visual thalamus depend on visual responsiveness and stimulus context,"L Schmors, A Kotkat, Y Bauer, Z Huang, D Crombie, L Meyerolbersleben, ...","bioRxiv, 2023.10. 18.562960, 2023",,2023
Philipp Berens,Correction to: Probabilistic solvers enable a straight-forward exploration of numerical uncertainty in neuroscience models,"J Oesterle, N Krämer, P Hennig, P Berens","Journal of Computational Neuroscience 51 (3), 405, 2023",,2023
Philipp Berens,Asymmetric distribution of color-opponent response types across mouse visual cortex supports superior color vision in the sky,"K Franke, C Cai, K Ponder, J Fu, S Sokoloski, P Berens, AS Tolias","bioRxiv, 2023.06. 01.543054, 2023",,2023
Philipp Berens,Sparse Activations for Interpretable Disease Grading,"KRD Donteu, I Ilanchezian, L Kühlewein, H Faber, CF Baumgartner, ...","Medical Imaging with Deep Learning, 2023",,2023
Philipp Berens,Machine Learning for Science: Bridging Data-Driven and Mechanistic Modelling (Dagstuhl Seminar 22382),"P Berens, K Cranmer, ND Lawrence, U von Luxburg, J Montgomery","Dagstuhl Reports 12 (9), 2023",2,2023
Philipp Berens,Combined statistical-mechanistic modeling links ion channel genes to physiology of cortical neuron types,"Y Bernaerts, M Deistler, PJ Goncalves, J Beck, M Stimberg, F Scala, ...","bioRxiv, 2023.03. 02.530774, 2023",2,2023
Philipp Berens,Efficient identification of informative features in simulation-based inference,"J Beck, M Deistler, Y Bernaerts, JH Macke, P Berens","Advances in Neural Information Processing Systems 35, 19260-19273, 2022",2,2022
Philipp Berens,Personalized neurorehabilitative precision medicine: from data to therapies (MWKNeuroReha)–a multi-centre prospective observational clinical trial to predict long-term outcome …,"C Blum, D Baur, LC Achauer, P Berens, S Biergans, M Erb, V Hömberg, ...","BMC neurology 22 (1), 1-15, 2022",1,2022
Philipp Berens,Unsupervised visualization of image datasets using contrastive learning,"JN Böhm, P Berens, D Kobak","arXiv preprint arXiv:2210.09879, 2022",4,2022
Philipp Berens,Center-surround interactions underlie bipolar cell motion sensitivity in the mouse retina,"S Strauss, MM Korympidou, Y Ran, K Franke, T Schubert, T Baden, ...","Nature Communications 13 (1), 5574, 2022",13,2022
Philipp Berens,Visual explanations for the detection of diabetic retinopathy from retinal fundus images,"V Boreiko, I Ilanchezian, MS Ayhan, S Müller, LM Koch, H Faber, ...","Medical Image Computing and Computer Assisted Intervention–MICCAI 2022: 25th …, 2022",8,2022
Philipp Berens,Probabilistic solvers enable a straight-forward exploration of numerical uncertainty in neuroscience models,"J Oesterle, N Krämer, P Hennig, P Berens","Journal of Computational Neuroscience, 1-19, 2022",1,2022
Philipp Berens,Ocular changes as a diagnostic tool for malaria,"H Faber, P Berens, JM Rohrbach","Der Ophthalmologe, 1-6, 2022",1,2022
Philipp Berens,Hierarchical mixtures of Gaussians for combined dimensionality reduction and clustering,"S Sokoloski, P Berens","arXiv preprint arXiv:2206.04841, 2022",,2022
Philipp Berens,A Generative Model Reveals the Influence of Patient Attributes on Fundus Images,"S Müller, LM Koch, H Lensch, P Berens","Medical Imaging with Deep Learning, 2022",3,2022
Philipp Berens,Clinical validation of saliency maps for understanding deep neural networks in ophthalmology,"MS Ayhan, LB Kümmerle, L Kühlewein, W Inhoffen, G Aliyeva, ...","Medical Image Analysis 77, 102364, 2022",26,2022
Philipp Berens,Two-dimensional visualization of large document libraries using t-SNE,"R González-Márquez, P Berens, D Kobak","ICLR 2022 Workshop on Geometrical and Topological Representation Learning, 2022",6,2022
Philipp Berens,How competitors become collaborators—Bridging the gap (s) between machine learning algorithms and clinicians,"T Grote, P Berens","Bioethics 36 (2), 134-142, 2022",16,2022
Philipp Berens,School predictors of mental health problems in children and adolescents based on a survey of students in hospital and regular schools,"J Janschewski, C Kappler, P Berens","ZEITSCHRIFT FUR PADAGOGISCHE PSYCHOLOGIE, 2022",2,2022
Philipp Berens,Okuläre Veränderungen als Hilfsmittel in der Malariadiagnostik,"H Faber, P Berens, JM Rohrbach","Ophthalmologie 119 (7), 2022",,2022
Philipp Berens,A chromatic feature detector in the retina signals visual context changes,"L Höfling, KP Szatko, C Behrens, Y Qiu, DA Klindt, Z Jessen, GS Schwartz, ...","bioRxiv, 2022.11. 30.518492, 2022",4,2022
Philipp Berens,Interpretable Detection of Epiretinal Membrane from Optical Coherence Tomography with Deep Neural Networks,"MS Ayhan, J Neubauer, MM Uzel, F Gelisken, P Berens","medRxiv, 2022.11. 24.22282667, 2022",,2022
Philipp Berens,Attraction-repulsion spectrum in neighbor embeddings,"JN Böhm, P Berens, D Kobak","Journal of Machine Learning Research 23 (95), 1-32, 2022",67,2022
Philipp Berens,Sparse visual counterfactual explanations in image space,"V Boreiko, M Augustin, F Croce, P Berens, M Hein","DAGM German Conference on Pattern Recognition, 133-148, 2022",14,2022
Philipp Berens,Hidden in plain sight: Subgroup shifts escape ood detection,"LM Koch, CM Schürch, A Gretton, P Berens","Medical Imaging with Deep Learning, 2022",7,2022
Philipp Berens,Retinal horizontal cells use different synaptic sites for global feedforward and local feedback signaling,"C Behrens, SC Yadav, MM Korympidou, Y Zhang, S Haverkamp, S Irsen, ...","Current Biology, 2021",11,2021
Philipp Berens,Analytic Pearson residuals for normalization of single-cell RNA-seq UMI data,"J Lause, P Berens, D Kobak","Genome Biology 22 (1), 1-20, 2021",69,2021
Philipp Berens,Ancestral circuits for vertebrate color vision emerge at the first retinal synapse,"T Yoshimatsu, P Bartel, C Schröder, FK Janiak, F St-Pierre, P Berens, ...","Science advances 7 (42), eabj6815, 2021",28,2021
Philipp Berens,Phenotypic variation of transcriptomic cell types in mouse motor cortex,"F Scala, D Kobak, M Bernabucci, Y Bernaerts, CR Cadwell, JR Castro, ...","Nature 598 (7879), 144-150, 2021",210,2021
Philipp Berens,Estimating smooth and sparse neural receptive fields with a flexible spline basis,"Z Huang, Y Ran, J Oesterle, T Euler, P Berens","arXiv preprint arXiv:2108.07537, 2021",7,2021
Philipp Berens,Sparse reduced‐rank regression for exploratory visualisation of paired multivariate data,"D Kobak, Y Bernaerts, MA Weis, F Scala, AS Tolias, P Berens","Journal of the Royal Statistical Society: Series C (Applied Statistics) 70 …, 2021",23,2021
Philipp Berens,Distinct synaptic transfer functions in same-type photoreceptors,"C Schroeder, J Oesterle, P Berens, T Yoshimatsu, T Baden","Elife 10, e67851, 2021",8,2021
Philipp Berens,MorphVAE: generating neural morphologies from 3D-walks using a variational autoencoder with spherical latent space,"S Laturnus, P Berens","bioRxiv, 2021.06. 14.448271, 2021",5,2021
Philipp Berens,Center-surround interactions underlie bipolar cell motion sensing in the mouse retina,"S Strauss, MM Korympidou, Y Ran, K Franke, T Schubert, T Baden, ...","bioRxiv, 2021.05. 31.446404, 2021",,2021
Philipp Berens,Removing Inter-Experimental Variability from Functional Data in Systems Neuroscience,"D Gonschorek, L Höfling, KP Szatko, K Franke, T Schubert, BA Dunn, ...","Thirty-Fifth Conference on Neural Information Processing Systems, 2021",7,2021
Philipp Berens,A multimodal cell census and atlas of the mammalian primary motor cortex,BICC Network,"Nature 598 (7879), 86, 2021",226,2021
Philipp Berens,Interpretable gender classification from retinal fundus images using BagNets,"I Ilanchezian, D Kobak, H Faber, F Ziemssen, P Berens, MS Ayhan","Medical Image Computing and Computer Assisted Intervention–MICCAI 2021: 24th …, 2021",14,2021
Philipp Berens,Object manifold geometry across the mouse cortical visual hierarchy,"E Froudarakis, U Cohen, M Diamantaki, EY Walker, J Reimer, P Berens, ...","BioRxiv, 2020.08. 20.258798, 2021",28,2021
Philipp Berens,Near-optimal rotation of colour space by zebrafish cones in vivo,"T Baden, T Yoshimatsu, P Bartel, C Schroeder, F Janiak, F St-Pierre, ...",,5,2020
Philipp Berens,Bayesian inference for biophysical neuron models enables stimulus optimization for retinal neuroprosthetics,"J Oesterle, C Behrens, C Schröder, T Hermann, T Euler, K Franke, ...","Elife 9, e54997, 2020",28,2020
Philipp Berens,Artificial intelligence in ophthalmology: Guidelines for physicians for the critical evaluation of studies,"M Pfau, G Walther, L von der Emde, P Berens, L Faes, M Fleckenstein, ...","Der Ophthalmologe 117, 973-988, 2020",8,2020
Philipp Berens,A systematic evaluation of interneuron morphology representations for cell type discrimination,"S Laturnus, D Kobak, P Berens","Neuroinformatics 18 (4), 591-609, 2020",28,2020
Philipp Berens,MorphoPy: A python package for feature extraction of neural morphologies.,"S Laturnus, A von Daranyi, Z Huang, P Berens","Journal of Open Source Software 5 (52), 2339, 2020",4,2020
Philipp Berens,Expert-validated estimation of diagnostic uncertainty for deep neural networks in diabetic retinopathy detection,"MS Ayhan, L Kühlewein, G Aliyeva, W Inhoffen, F Ziemssen, P Berens","Medical Image Analysis 64, 101724, 2020",68,2020
Philipp Berens,Fovea-like photoreceptor specializations underlie single UV cone driven prey-capture behavior in zebrafish,"T Yoshimatsu, C Schröder, NE Nevala, P Berens, T Baden","Neuron 107 (2), 320-337. e6, 2020",101,2020
Philipp Berens,Neural circuits in the mouse retina support color vision in the upper visual field,"KP Szatko, MM Korympidou, Y Ran, P Berens, D Dalkara, T Schubert, ...","Nature communications 11 (1), 3481, 2020",86,2020
Philipp Berens,Sparse bottleneck neural networks for exploratory non-linear visualization of Patch-seq data,"Y Bernaerts, P Berens, D Kobak","arXiv preprint arXiv:2006.10411, 2020",3,2020
Philipp Berens,Phenomenal Causality and Sensory Realism,"K Meding, SA Bruijns, B Schölkopf, P Berens, FA Wichmann","i-Perception 11 (3), 2041669520927038, 2020",8,2020
Philipp Berens,Systematic spatiotemporal mapping reveals divergent cell death pathways in three mouse models of hereditary retinal degeneration,"MJ Power, LE Rogerson, T Schubert, P Berens, T Euler, F Paquet‐Durand","Journal of Comparative Neurology 528 (7), 1113-1139, 2020",24,2020
Philipp Berens,Type-specific dendritic integration in mouse retinal ganglion cells,"Y Ran, Z Huang, T Baden, T Schubert, H Baayen, P Berens, K Franke, ...","Nature Communications 11 (1), 2101, 2020",32,2020
Philipp Berens,Potential of methods of artificial intelligence for quality assurance,"P Berens, SM Waldstein, MS Ayhan, L Kuemmerle, H Agostini, A Stahl, ...","Der Ophthalmologe 117, 320-325, 2020",2,2020
Philipp Berens,Probing and predicting ganglion cell responses to smooth electrical stimulation in healthy and blind mouse retina,"L Höfling, J Oesterle, P Berens, G Zeck","Scientific reports 10 (1), 5248, 2020",18,2020
Philipp Berens,The temporal structure of the inner retina at a single glance,"Z Zhao, DA Klindt, A Maia Chagas, KP Szatko, L Rogerson, DA Protti, ...","Scientific reports 10 (1), 4399, 2020",23,2020
Philipp Berens,Cell type composition and circuit organization of clonally related excitatory neurons in the juvenile mouse neocortex,"CR Cadwell, F Scala, PG Fahey, D Kobak, S Mulherkar, FH Sinz, ...","eLife 9, e52951, 2020",39,2020
Philipp Berens,On the ethics of algorithmic decision-making in healthcare,"T Grote, P Berens","Journal of medical ethics 46 (3), 205-211, 2020",278,2020
Philipp Berens,System identification with biophysical constraints: A circuit model of the inner retina,"C Schröder, D Klindt, S Strauss, K Franke, M Bethge, T Euler, P Berens","Advances in Neural Information Processing Systems 33, 15439-15450, 2020",9,2020
Philipp Berens,Understanding the retinal basis of vision across species,"T Baden, T Euler, P Berens","Nature Reviews Neuroscience 21 (1), 5-20, 2020",212,2020
Philipp Berens,The art of using t-SNE for single-cell transcriptomics,"D Kobak, P Berens","Nature Communications 10 (1), 1-14, 2019",735,2019
