author_name,title,authors,publication,cited_by_value,year
Philipp Hennig,Entropy Search for Information-Efficient Global Optimization.,"P Hennig, CJ Schuler","Journal of Machine Learning Research 13 (6), 2012",756,2012
Philipp Hennig,Fast bayesian optimization of machine learning hyperparameters on large datasets,"A Klein, S Falkner, S Bartels, P Hennig, F Hutter","Artificial intelligence and statistics, 528-536, 2017",635,2017
Philipp Hennig,Batch Bayesian optimization via local penalization,"J González, Z Dai, P Hennig, N Lawrence","Artificial intelligence and statistics, 648-657, 2016",369,2016
Philipp Hennig,Probabilistic numerics and uncertainty in computations,"P Hennig, MA Osborne, M Girolami","Proceedings of the Royal Society A: Mathematical, Physical and Engineering …, 2015",289,2015
Philipp Hennig,Gaussian processes and kernel methods: A review on connections and equivalences,"M Kanagawa, P Hennig, D Sejdinovic, BK Sriperumbudur","arXiv preprint arXiv:1807.02582, 2018",288,2018
Philipp Hennig,The randomized dependence coefficient,"D Lopez-Paz, P Hennig, B Schölkopf","Advances in Neural Information Processing Systems (NeurIPS) 26, 2013",236,2013
Philipp Hennig,Dense connectomic reconstruction in layer 4 of the somatosensory cortex,"A Motta, M Berning, KM Boergens, B Staffler, M Beining, S Loomba, ...","Science 366 (6469), eaay3134, 2019",235,2019
Philipp Hennig,"Being bayesian, even just a bit, fixes overconfidence in relu networks","A Kristiadi, M Hein, P Hennig","International conference on machine learning, 5436-5446, 2020",222,2020
Philipp Hennig,Automatic LQR tuning based on Gaussian process global optimization,"A Marco, P Hennig, J Bohg, S Schaal, S Trimpe","2016 IEEE international conference on robotics and automation (ICRA), 270-277, 2016",166,2016
Philipp Hennig,Limitations of the empirical fisher approximation for natural gradient descent,"F Kunstner, L Balles, P Hennig","Advances in Neural Information Processing Systems (NeurIPS) 32, 2019",161,2019
Philipp Hennig,Laplace redux-effortless bayesian deep learning,"E Daxberger, A Kristiadi, A Immer, R Eschenhagen, M Bauer, P Hennig","Advances in Neural Information Processing Systems 34, 20089-20103, 2021",158,2021
Philipp Hennig,Probabilistic line searches for stochastic optimization,"M Mahsereci, P Hennig","Advances in Neural Information Processing Systems (NeurIPS) 28, 2015",151,2015
