author_name,title,authors,publication,cited_by_value,year
Robert C. Williamson,Estimating the support of a high-dimensional distribution,"B Schölkopf, JC Platt, J Shawe-Taylor, AJ Smola, RC Williamson","Neural computation 13 (7), 1443-1471, 2001",6873,2001
Robert C. Williamson,New support vector algorithms,"B Schölkopf, AJ Smola, RC Williamson, PL Bartlett","Neural computation 12 (5), 1207-1245, 2000",3454,2000
Robert C. Williamson,Support vector method for novelty detection,"B Schölkopf, RC Williamson, A Smola, J Shawe-Taylor, J Platt","Advances in neural information processing systems 12, 1999",2279,1999
Robert C. Williamson,A Generalized Representer Theorem,"B Scholkopf, R Herbrich, A Smola, R Williamson",,2143,2000
Robert C. Williamson,Online learning with kernels,"J Kivinen, AJ Smola, RC Williamson","IEEE transactions on signal processing 52 (8), 2165-2176, 2004",1326,2004
Robert C. Williamson,Structural risk minimization over data-dependent hierarchies,"J Shawe-Taylor, PL Bartlett, RC Williamson, M Anthony","IEEE transactions on Information Theory 44 (5), 1926-1940, 1998",724,1998
Robert C. Williamson,Support vector method for novelty detection,"B Scholkopf, R Williamson, A Smola, J Shawe-Taylor, J Platt","Advances in neural information processing systems 12 (3), 582-588, 2000",598,2000
Robert C. Williamson,Probabilistic arithmetic. I. Numerical methods for calculating convolutions and dependency bounds,"RC Williamson, T Downs","International journal of approximate reasoning 4 (2), 89-158, 1990",528,1990
Robert C. Williamson,Learning the kernel with hyperkernels,"CS Ong, A Smola, B Williamson","Journal of Machine Learning Research 6, 1045-1071, 2005",459,2005
Robert C. Williamson,Clustering: Science or art?,"U von Luxburg, R Williamson, I Guyon","Journal of Machine Learning Research 27, 65-80, 2012",447,2012
Robert C. Williamson,Particle filtering algorithms for tracking an acoustic source in a reverberant environment,"DB Ward, EA Lehmann, RC Williamson","IEEE Transactions on speech and audio processing 11 (6), 826-836, 2003",432,2003
Robert C. Williamson,Theory and design of broadband sensor arrays with frequency invariant far‐field beam patterns,"DB Ward, RA Kennedy, RC Williamson","The Journal of the Acoustical Society of America 97 (2), 1023-1034, 1995",392,1995
Robert C. Williamson,The cost of fairness in binary classification,"AK Menon, RC Williamson","Conference on Fairness, accountability and transparency, 107-118, 2018",390,2018
Robert C. Williamson,Learning with symmetric label noise: The importance of being unhinged,"B Van Rooyen, A Menon, RC Williamson","Advances in neural information processing systems 28, 2015",302,2015
Robert C. Williamson,The need for open source software in machine learning,"S Sonnenburg, ML Braun, CS Ong, S Bengio, L Bottou, G Holmes, ...","JMLR 8, 2443-2466, 2007",264,2007
Robert C. Williamson,A PAC analysis of a Bayesian estimator,"J Shawe-Taylor, RC Williamson","Proceedings of the tenth annual conference on Computational learning theory, 2-9, 1997",262,1997
Robert C. Williamson,Shrinking the tube: a new support vector regression algorithm,"B Schölkopf, P Bartlett, A Smola, RC Williamson","Advances in neural information processing systems 11, 1998",255,1998
Robert C. Williamson,Learning from corrupted binary labels via class-probability estimation,"A Menon, B Van Rooyen, CS Ong, B Williamson","International conference on machine learning, 125-134, 2015",241,2015
Robert C. Williamson,Composite binary losses,"MD Reid, RC Williamson","The Journal of Machine Learning Research 11, 2387-2422, 2010",224,2010
Robert C. Williamson,Generalization performance of regularization networks and support vector machines via entropy numbers of compact operators,"RC Williamson, AJ Smola, B Scholkopf","IEEE transactions on Information Theory 47 (6), 2516-2532, 2001",223,2001
Robert C. Williamson,Fat shattering and the learnability of real-valued functions,"PL Bartlett, PM Long, RC Williamson","Journal of Computer and System Sciences 52 (3), 434-452, 1996",211,1996
Robert C. Williamson,Efficient agnostic learning of neural networks with bounded fan-in,"WS Lee, PL Bartlett, RC Williamson","IEEE Transactions on Information Theory 42 (6), 2118-2132, 1996",209,1996
Robert C. Williamson,"Information, divergence and risk for binary experiments","M Reid, R Williamson","MIT Press, 2011",206,2011
Robert C. Williamson,Support vector regression with automatic accuracy control,"B Schölkopf, P Bartlett, A Smola, R Williamson","ICANN 98: Proceedings of the 8th International Conference on Artificial …, 1998",192,1998
Robert C. Williamson,Equalization in an acoustic reverberant environment: Robustness results,"BD Radlovic, RC Williamson, RA Kennedy","IEEE Transactions on Speech and Audio Processing 8 (3), 311-319, 2000",174,2000
Robert C. Williamson,The statistical performance of some instantaneous frequency estimators,"BC Lovell, RC Williamson","IEEE Transactions on Signal Processing 40 (7), 1708-1723, 1992",174,1992
Robert C. Williamson,FIR filter design for frequency invariant beamformers,"DB Ward, RA Kennedy, RC Williamson","IEEE Signal Processing Letters 3 (3), 69-71, 1996",168,1996
