author_name,title,authors,publication,cited_by_value,year
Setareh Maghsudi,Mobility-Aware Routing and Caching in Small Cell Networks using Federated Learning,"Y Cao, S Maghsudi, T Ohtsuki, TQS Quek","IEEE Transactions on Communications, 2023",,2023
Setareh Maghsudi,Learning of generalizable and interpretable knowledge in grid-based reinforcement learning environments,"M Eberhardinger, J Maucher, S Maghsudi","Proceedings of the AAAI Conference on Artificial Intelligence and …, 2023",,2023
Setareh Maghsudi,Eigensubspace of temporal-difference dynamics and how it improves value approximation in reinforcement learning,"Q He, T Zhou, M Fang, S Maghsudi","Joint European Conference on Machine Learning and Knowledge Discovery in …, 2023",1,2023
Setareh Maghsudi,Collaborative Regret Minimization for Piecewise-Stationary Multi-Armed Bandit,"X Cheng, S Maghsudi","2023 31st European Signal Processing Conference (EUSIPCO), 1385-1389, 2023",,2023
Setareh Maghsudi,Piecewise-Stationary Combinatorial Semi-Bandit with Causally Related Rewards,"B Nourani-Koliji, S Bilaj, AR Balef, S Maghsudi","arXiv preprint arXiv:2307.14138, 2023",,2023
Setareh Maghsudi,Online Learning with Costly Features in Non-stationary Environments,"S Ghoorchian, E Kortukov, S Maghsudi","arXiv preprint arXiv:2307.09388, 2023",,2023
Setareh Maghsudi,Non-stationary Delayed Combinatorial Semi-Bandit with Causally Related Rewards,"S Ghoorchian, S Maghsudi","arXiv preprint arXiv:2307.09093, 2023",,2023
Setareh Maghsudi,Parallel online clustering of bandits via hedonic game,"X Cheng, C Pan, S Maghsudi","International Conference on Machine Learning, 5485-5503, 2023",,2023
Setareh Maghsudi,Multi-agent learning from learners,"MM Caliskan, F Chini, S Maghsudi","International Conference on Machine Learning, 3525-3540, 2023",,2023
Setareh Maghsudi,Robustness Implies Fairness in Causal Algorithmic Recourse,"AR Ehyaei, AH Karimi, B Schölkopf, S Maghsudi","Proceedings of the 2023 ACM Conference on Fairness, Accountability, and …, 2023",3,2023
Setareh Maghsudi,Distributed Consensus Algorithm for Decision-Making in Multi-agent Multi-armed Bandit,"X Cheng, S Maghsudi","arXiv preprint arXiv:2306.05998, 2023",1,2023
Setareh Maghsudi,Deep Learning and Image Super-Resolution-Guided Beam and Power Allocation for mmWave Networks,"Y Cao, T Ohtsuki, S Maghsudi, TQS Quek","IEEE Transactions on Vehicular Technology, 2023",1,2023
Setareh Maghsudi,A Bandit Online Convex Optimization Approach To Distributed Energy Management In Networked Systems,"I Tsetis, X Cheng, S Maghsudi","ICASSP 2023-2023 IEEE International Conference on Acoustics, Speech and …, 2023",,2023
Setareh Maghsudi,Cooperative Thresholded Lasso for Sparse Linear Bandit,"H Barghi, X Cheng, S Maghsudi","arXiv preprint arXiv:2305.19161, 2023",,2023
