author_name,title,authors,publication,cited_by_value,year
Ulrike von Luxburg,A tutorial on spectral clustering,U Von Luxburg,"Statistics and computing 17, 395-416, 2007",12024,2007
Ulrike von Luxburg,Advances in neural information processing systems,"P Wang, L Liu, Y Liu, C Theobalt, T Komura, WP Wang","Curran Associates., 2021",3764,2021
Ulrike von Luxburg,Consistency of spectral clustering,"U Von Luxburg, M Belkin, O Bousquet","The Annals of Statistics, 555-586, 2008",729,2008
Ulrike von Luxburg,Curran Associates,"I Guyon, UV Luxburg, S Bengio, H Wallach, R Fergus, S Vishwanathan, ...","Inc.: Red Hook, NY, USA 30, 3149-3157, 2017",427,2017
Ulrike von Luxburg,From graphs to manifolds–weak and strong pointwise consistency of graph Laplacians,"M Hein, JY Audibert, U Von Luxburg","International Conference on Computational Learning Theory, 470-485, 2005",394,2005
Ulrike von Luxburg,Clustering stability: an overview,U Von Luxburg,"Foundations and Trends® in Machine Learning 2 (3), 235-274, 2010",372,2010
Ulrike von Luxburg,Graph laplacians and their convergence on random neighborhood graphs.,"M Hein, JY Audibert, U Luxburg","Journal of Machine Learning Research 8 (6), 2007",317,2007
Ulrike von Luxburg,Clustering: Science or art?,"U Von Luxburg, RC Williamson, I Guyon","Proceedings of ICML workshop on unsupervised and transfer learning, 65-79, 2012",301,2012
Ulrike von Luxburg,A sober look at clustering stability,"S Ben-David, U Von Luxburg, D Pál","Learning Theory: 19th Annual Conference on Learning Theory, COLT 2006 …, 2006",300,2006
Ulrike von Luxburg,"Statistical learning theory: Models, concepts, and results","U Von Luxburg, B Schölkopf","Handbook of the History of Logic 10, 651-706, 2011",266,2011
Ulrike von Luxburg,Distance-Based Classification with Lipschitz Functions.,"U von Luxburg, O Bousquet","J. Mach. Learn. Res. 5 (Jun), 669-695, 2004",222,2004
Ulrike von Luxburg,Influence of graph construction on graph-based clustering measures,"M Maier, U Luxburg, M Hein","Advances in neural information processing systems 21, 2008",218,2008
Ulrike von Luxburg,Getting lost in space: Large sample analysis of the resistance distance,"U Luxburg, A Radl, M Hein","Advances in neural information processing systems 23, 2010",173,2010
Ulrike von Luxburg,"Advanced Lectures on Machine Learning: ML Summer Schools 2003, Canberra, Australia, February 2-14, 2003, Tübingen, Germany, August 4-16, 2003, Revised Lectures","O Bousquet, U von Luxburg, G Rätsch","Springer, 2011",167,2011
Ulrike von Luxburg,Limits of spectral clustering,"U Luxburg, O Bousquet, M Belkin","Advances in neural information processing systems 17, 2004",154,2004
Ulrike von Luxburg,Explaining the explainer: A first theoretical analysis of LIME,"D Garreau, U Luxburg","International conference on artificial intelligence and statistics, 1287-1296, 2020",153,2020
Ulrike von Luxburg,Clustering: Science or art,"I Guyon, U Von Luxburg, RC Williamson","NIPS 2009 workshop on clustering theory, 1-11, 2009",153,2009
