author_name,title,authors,publication,cited_by_value,year
Zeynep Akata,Zero-shot audio captioning with audio-language model guidance and audio context keywords,"L Salewski, S Fauth, A Koepke, Z Akata","arXiv preprint arXiv:2311.08396, 2023",,2023
Zeynep Akata,Zero-shot Translation of Attention Patterns in VQA Models to Natural Language,"L Salewski, A Koepke, H Lensch, Z Akata","arXiv preprint arXiv:2311.05043, 2023",1,2023
Zeynep Akata,Fantastic Gains and Where to Find Them: On the Existence and Prospect of General Knowledge Transfer between Any Pretrained Model,"K Roth, L Thede, AS Koepke, O Vinyals, O Hénaff, Z Akata","arXiv preprint arXiv:2310.17653, 2023",,2023
Zeynep Akata,Transitivity Recovering Decompositions: Interpretable and Robust Fine-Grained Relationships,"A Chaudhuri, M Mancini, Z Akata, A Dutta","arXiv preprint arXiv:2310.15999, 2023",,2023
Zeynep Akata,Vision-by-Language for Training-Free Compositional Image Retrieval,"S Karthik, K Roth, M Mancini, Z Akata","arXiv preprint arXiv:2310.09291, 2023",,2023
Zeynep Akata,Video-adverb retrieval with compositional adverb-action embeddings,"T Hummel, OB Mercea, A Koepke, Z Akata","arXiv preprint arXiv:2309.15086, 2023",,2023
Zeynep Akata,Text-to-feature diffusion for audio-visual few-shot learning,"OB Mercea, T Hummel, A Koepke, Z Akata","arXiv preprint arXiv:2309.03869, 2023",,2023
Zeynep Akata,DeViL: Decoding Vision features into Language,"M Dani, I Rio-Torto, S Alaniz, Z Akata","arXiv preprint arXiv:2309.01617, 2023",,2023
Zeynep Akata,Addressing caveats of neural persistence with deep graph persistence,"L Girrbach, A Christensen, O Winther, Z Akata, A Koepke","arXiv preprint arXiv:2307.10865, 2023",,2023
Zeynep Akata,Likelihood Annealing: Fast Calibrated Uncertainty for Regression,"U Upadhyay, JM Kim, C Schmidt, B Schölkopf, Z Akata","arXiv, 2023",,2023
Zeynep Akata,Caveats of neural persistence in deep neural networks,"L Girrbach, A Christensen, O Winther, Z Akata, AS Koepke",,,2023
Zeynep Akata,Waffling around for Performance: Visual Classification with Random Words and Broad Concepts,"Z Akata, C Schmid, O Vinyals, A Koepke, JM Kim, K Roth","arXiv, 2023",,2023
Zeynep Akata,Waffling around for Performance: Visual Classification with Random Words and Broad Concepts,"K Roth, JM Kim, A Koepke, O Vinyals, C Schmid, Z Akata","arXiv preprint arXiv:2306.07282, 2023",4,2023
Zeynep Akata,USIM-DAL: Uncertainty-aware Statistical Image Modeling-based Dense Active Learning for Super-resolution,"Z Akata, B Banerjee, U Upadhyay, V Rangnekar","arXiv, 2023",,2023
Zeynep Akata,USIM-DAL: Uncertainty-aware Statistical Image Modeling-based Dense Active Learning for Super-resolution,"V Rangnekar, U Upadhyay, Z Akata, B Banerjee","arXiv preprint arXiv:2305.17520, 2023",2,2023
Zeynep Akata,In-Context Impersonation Reveals Large Language Models' Strengths and Biases,"L Salewski, S Alaniz, I Rio-Torto, E Schulz, Z Akata","arXiv preprint arXiv:2305.14930, 2023",17,2023
Zeynep Akata,In-Context Impersonation Reveals Large Language Models' Strengths and Biases,"Z Akata, E Schulz, I Rio-Torto, S Alaniz, L Salewski","arXiv, 2023",,2023
Zeynep Akata,Meta-in-context learning in large language models,"Z Akata, M Binz, J Coda-Forno, M Botvinick, JX Wang, E Schulz","arXiv, 2023",,2023
Zeynep Akata,"If at First You Don't Succeed, Try, Try Again: Faithful Diffusion-based Text-to-Image Generation by Selection","S Karthik, K Roth, M Mancini, Z Akata","arXiv preprint arXiv:2305.13308, 2023",3,2023
Zeynep Akata,Meta-in-context learning in large language models,"J Coda-Forno, M Binz, Z Akata, M Botvinick, JX Wang, E Schulz","arXiv preprint arXiv:2305.12907, 2023",3,2023
Zeynep Akata,Inducing anxiety in large language models increases exploration and bias,"Z Akata, E Schulz, M Binz, AK Jagadish, K Witte, J Coda-Forno","arXiv, 2023",,2023
Zeynep Akata,Inducing anxiety in large language models increases exploration and bias,"J Coda-Forno, K Witte, AK Jagadish, M Binz, Z Akata, E Schulz","arXiv preprint arXiv:2304.11111, 2023",19,2023
Zeynep Akata,Classifying the unknown: Insect identification with deep hierarchical Bayesian learning,"S Badirli, CJ Picard, G Mohler, F Richert, Z Akata, M Dundar","Methods in Ecology and Evolution, 2023",5,2023
Zeynep Akata,Control of a physical system based on inferred state,"VG Satorras, M Welling, V Fischer, Z Akata","US Patent 11,620,517, 2023",2,2023
Zeynep Akata,Any-Shot GIN: Generalizing Implicit Networks for Reconstructing Novel Classes,"G Pons-Moll, Y Xian, J Chibane, BL Bhatnagar, B Schiele, Z Akata","2022 International Conference on 3D Vision (3DV), 2023",,2023
Zeynep Akata,Posterior Annealing: Fast Calibrated Uncertainty for Regression,"U Upadhyay, JM Kim, C Schmidt, B Schölkopf, Z Akata","arXiv preprint arXiv:2302.11012, 2023",1,2023
Zeynep Akata,Iterative Superquadric Recomposition of 3D Objects from Multiple Views,"S Alaniz, M Mancini, Z Akata","Proceedings of the IEEE/CVF International Conference on Computer Vision …, 2023",,2023
Zeynep Akata,PDiscoNet: Semantically consistent part discovery for fine-grained recognition,"R van der Klis, S Alaniz, M Mancini, CF Dantas, D Ienco, Z Akata, ...","Proceedings of the IEEE/CVF International Conference on Computer Vision …, 2023",,2023
Zeynep Akata,Image-free Classifier Injection for Zero-Shot Classification,"A Christensen, M Mancini, A Koepke, O Winther, Z Akata","Proceedings of the IEEE/CVF International Conference on Computer Vision …, 2023",,2023
Zeynep Akata,Exposing and Mitigating Spurious Correlations for Cross-Modal Retrieval,"Z Akata, JM Kim, A Koepke, C Schmid","Proceedings of the IEEE/CVF Conference on Computer Vision and Pattern …, 2023",,2023
Zeynep Akata,Probvlm: Probabilistic adapter for frozen vison-language models,"U Upadhyay, S Karthik, M Mancini, Z Akata","Proceedings of the IEEE/CVF International Conference on Computer Vision …, 2023",3,2023
Zeynep Akata,Exposing and Mitigating Spurious Correlations for Cross-Modal Retrieval,"JM Kim, A Koepke, C Schmid, Z Akata","Proceedings of the IEEE/CVF Conference on Computer Vision and Pattern …, 2023",9,2023
Zeynep Akata,Bridging the Gap between Model Explanations in Partially Annotated Multi-label Classification,"Y Kim, JM Kim, J Jeong, C Schmid, Z Akata, J Lee","Proceedings of the IEEE/CVF Conference on Computer Vision and Pattern …, 2023",3,2023
Zeynep Akata,Urban Scene Semantic Segmentation with Low-Cost Coarse Annotation,"A Das, Y Xian, Y He, Z Akata, B Schiele","Proceedings of the IEEE/CVF Winter Conference on Applications of Computer …, 2023",4,2023
Zeynep Akata,The Manifold Hypothesis for Gradient-Based Explanations,"S Bordt, U Upadhyay, Z Akata, U von Luxburg","Proceedings of the IEEE/CVF Conference on Computer Vision and Pattern …, 2023",1,2023
Zeynep Akata,Urban Scene Semantic Segmentation with Low-Cost Coarse Annotation,"Z Akata, B Schiele, Y He, Y Xian, A Das","arXiv, 2022",,2022
Zeynep Akata,Relational Proxies: Emergent Relationships as Fine-Grained Discriminators,"A Chaudhuri, M Mancini, Z Akata, A Dutta","Advances in Neural Information Processing Systems 35, 31145-31157, 2022",2,2022
Zeynep Akata,BDA-SketRet: Bi-level domain adaptation for zero-shot SBIR,"U Chaudhuri, R Chavan, B Banerjee, A Dutta, Z Akata","Neurocomputing 514, 245-255, 2022",6,2022
Zeynep Akata,Distilling knowledge from self-supervised teacher by embedding graph alignment,"Y Ma, Y Chen, Z Akata","arXiv preprint arXiv:2211.13264, 2022",4,2022
