Research Field,id,name
Computer Vision,id0,Andreas Geiger
Computer Vision,id1,Andreas Schilling
Machine Learning,id2,Andreas Zell
Machine Learning,id3,Bernhard Schoelkopf
Web Information Retrieval,id4,Carsten Eickhoff
Human-Computer Interaction,id5,Enkelejda Kasneci
Machine Learning,id6,Felix A. Wichmann
Machine Learning,id7,Georg Martius
Computer Vision,id8,Gerard Pons-Moll
Computer Vision,id9,Hendrik P. A. Lensch
Machine Learning,id10,Jakob H. Macke
Human-Computer Interaction,id11,Katherine J. Kuchenbecker
Machine Learning,id12,Martin V. Butz
Machine Learning,id13,Matthias Bethge
Machine Learning,id14,Matthias Hein
Computer Vision,id15,Michael J. Black
Visualization,id16,Michael Krone
Machine Learning,id17,Nico Pfeifer
Machine Learning,id18,Oliver Bringmann
Machine Learning,id19,Peter Ochs
Machine Learning,id20,Philipp Berens
Machine Learning,id21,Philipp Hennig
Machine Learning,id22,Robert C. Williamson
Machine Learning,id23,Seong Joon Oh
Machine Learning,id24,Setareh Maghsudi
Machine Learning,id25,Ulrike von Luxburg
Machine Learning,id26,Zeynep Akata
