Professor,Publication Type,Venue,Title,Authors,Year,Research Field,Research Fields,Research Field Percentages,2D Points
Andreas Geiger,Journal Article,IEEE Trans. Pattern Anal. Mach. Intell.,KITTI-360: A Novel Dataset and Benchmarks for Urban Scene Understanding in 2D and 3D.,Yiyi Liao;Jun Xie;Andreas Geiger,2023,Computer Vision,['Computer Vision'],[0.8],"[17.125324249267578, 44.16372299194336]"
Andreas Geiger,Journal Article,IEEE Trans. Pattern Anal. Mach. Intell.,Fast-SNARF: A Fast Deformer for Articulated Neural Fields.,Xu Chen;Tianjian Jiang;Jie Song;Max Rietmann;Andreas Geiger;Michael J. Black;Otmar Hilliges,2023,Computer Vision,"['Computer Vision', 'Machine Learning']","[0.5, 0.5]","[23.429611206054688, 37.631351470947266]"
Andreas Geiger,Journal Article,IEEE Trans. Pattern Anal. Mach. Intell.,TransFuser: Imitation With Transformer-Based Sensor Fusion for Autonomous Driving.,Kashyap Chitta;Aditya Prakash;Bernhard Jaeger;Zehao Yu;Katrin Renz;Andreas Geiger,2023,Computer Vision,['Computer Vision'],[0.5],"[-28.499120712280273, 34.17947769165039]"
Andreas Geiger,Journal Article,IEEE Trans. Pattern Anal. Mach. Intell.,"Unifying Flow, Stereo and Depth Estimation.",Haofei Xu;Jing Zhang;Jianfei Cai;Hamid Rezatofighi;Fisher Yu;Dacheng Tao;Andreas Geiger,2023,Computer Vision,['Computer Vision'],[1.0],"[36.72148513793945, 27.37551498413086]"
Andreas Geiger,Journal Article,IEEE Trans. Pattern Anal. Mach. Intell.,Towards Scalable Multi-View Reconstruction of Geometry and Materials.,Carolin Schmitt;Bozidar Antic;Neculai Andrei;Joo Ho Lee;Andreas Geiger,2023,Computer Vision,['Computer Vision'],[1.0],"[34.52865219116211, 30.491222381591797]"
Andreas Geiger,Journal Article,ACM Trans. Graph.,MERF: Memory-Efficient Radiance Fields for Real-time View Synthesis in Unbounded Scenes.,Christian Reiser;Richard Szeliski;Dor Verbin;Pratul P. Srinivasan;Ben Mildenhall;Andreas Geiger;Jonathan T. Barron;Peter Hedman,2023,Computer Vision,['Computer Vision'],[1.0],"[20.922460556030273, 29.99254608154297]"
Andreas Geiger,Journal Article,ACM Trans. Graph.,Dictionary Fields: Learning a Neural Basis Decomposition.,Anpei Chen;Zexiang Xu;Xinyue Wei;Siyu Tang;Hao Su;Andreas Geiger,2023,Machine Learning,['Machine Learning'],[1.0],"[30.5108585357666, 16.571943283081055]"
Andreas Geiger,Journal Article,IEEE Trans. Vis. Comput. Graph.,NeRFPlayer: A Streamable Dynamic Scene Representation with Decomposed Neural Radiance Fields.,Liangchen Song;Anpei Chen;Zhong Li;Zhang Chen;Lele Chen;Junsong Yuan;Yi Xu;Andreas Geiger,2023,Computer Vision,"['Computer Vision', 'Machine Learning']","[0.6666666666666666, 0.3333333333333333]","[22.11505126953125, 32.23643112182617]"
Andreas Geiger,Conference or Workshop Paper,ICLR,GOOD: Exploring geometric cues for detecting objects in an open world.,Haiwen Huang;Andreas Geiger;Dan Zhang,2023,Computer Vision,['Computer Vision'],[1.0],"[-18.101972579956055, 0.14379453659057617]"
Andreas Geiger,Conference or Workshop Paper,ICML,StyleGAN-T: Unlocking the Power of GANs for Fast Large-Scale Text-to-Image Synthesis.,Axel Sauer;Tero Karras;Samuli Laine;Andreas Geiger;Timo Aila,2023,Computer Vision,['Computer Vision'],[0.75],"[59.3497314453125, -11.5217924118042]"
Andreas Geiger,Conference or Workshop Paper,IV,Self-Supervised Occupancy Grid Map Completion for Automated Driving.,Jugoslav Stojcheski;Thomas Nürnberg;Michael Ulrich;Thomas Michalke;Claudius Gläser;Andreas Geiger,2023,Computer Vision,['Computer Vision'],[0.5714285714285714],"[21.98208999633789, 23.382362365722656]"
Andreas Geiger,Informal or Other Publication,CoRR,Factor Fields: A Unified Framework for Neural Fields and Beyond.,Anpei Chen;Zexiang Xu;Xinyue Wei;Siyu Tang;Hao Su;Andreas Geiger,2023,Computer Vision,"['Computer Vision', 'Machine Learning']","[0.5, 0.5]","[24.192935943603516, 34.15038299560547]"
Andreas Geiger,Informal or Other Publication,CoRR,NICER-SLAM: Neural Implicit Scene Encoding for RGB SLAM.,Zihan Zhu;Songyou Peng;Viktor Larsson;Zhaopeng Cui;Martin R. Oswald;Andreas Geiger;Marc Pollefeys,2023,Computer Vision,"['Computer Vision', 'Machine Learning']","[0.4, 0.4]","[27.069623947143555, 40.28828811645508]"
Andreas Geiger,Informal or Other Publication,CoRR,AG3D: Learning to Generate 3D Avatars from 2D Image Collections.,Zijian Dong;Xu Chen;Jinlong Yang;Michael J. Black;Otmar Hilliges;Andreas Geiger,2023,Computer Vision,"['Computer Vision', 'Machine Learning']","[0.6, 0.4]","[24.038818359375, 52.25907516479492]"
Andreas Geiger,Informal or Other Publication,CoRR,Hidden Biases of End-to-End Driving Models.,Bernhard Jaeger;Kashyap Chitta;Andreas Geiger,2023,Machine Learning,"['Machine Learning', 'Computer Vision']","[0.6666666666666666, 0.3333333333333333]","[-25.093481063842773, 32.189395904541016]"
Andreas Geiger,Informal or Other Publication,CoRR,Parting with Misconceptions about Learning-based Vehicle Motion Planning.,Daniel Dauner;Marcel Hallgarten;Andreas Geiger;Kashyap Chitta,2023,Robotics,"['Robotics', 'Machine Learning']","[0.5, 0.5]","[-50.20808029174805, 16.008852005004883]"
Andreas Geiger,Informal or Other Publication,CoRR,End-to-end Autonomous Driving: Challenges and Frontiers.,Li Chen;Penghao Wu;Kashyap Chitta;Bernhard Jaeger;Andreas Geiger;Hongyang Li,2023,Computer Vision,['Computer Vision'],[1.0],"[-26.46049690246582, 32.16139221191406]"
Andreas Geiger,Informal or Other Publication,CoRR,On Offline Evaluation of 3D Object Detection for Autonomous Driving.,Tim Schreier;Katrin Renz;Andreas Geiger;Kashyap Chitta,2023,Computer Vision,['Computer Vision'],[1.0],"[-27.321434020996094, 29.275388717651367]"
Andreas Geiger,Informal or Other Publication,CoRR,PanopticNeRF-360: Panoramic 3D-to-2D Label Transfer in Urban Scenes.,Xiao Fu;Shangzhan Zhang;Tianrun Chen;Yichong Lu;Xiaowei Zhou;Andreas Geiger;Yiyi Liao,2023,Computer Vision,['Computer Vision'],[1.0],"[46.9335823059082, 27.641952514648438]"
Andreas Geiger,Informal or Other Publication,CoRR,GTA: A Geometry-Aware Attention Mechanism for Multi-View Transformers.,Takeru Miyato;Bernhard Jaeger;Max Welling;Andreas Geiger,2023,Machine Learning,"['Machine Learning', 'Computer Vision']","[0.6666666666666666, 0.3333333333333333]","[-7.217770099639893, 0.433653324842453]"
Andreas Geiger,Informal or Other Publication,CoRR,WildFusion: Learning 3D-Aware Latent Diffusion Models in View Space.,Katja Schwarz;Seung Wook Kim;Jun Gao;Sanja Fidler;Andreas Geiger;Karsten Kreis,2023,Machine Learning,"['Machine Learning', 'Computer Vision']","[0.6666666666666666, 0.3333333333333333]","[7.504350662231445, -12.76522445678711]"
Andreas Geiger,Informal or Other Publication,CoRR,Mip-Splatting: Alias-free 3D Gaussian Splatting.,Zehao Yu;Anpei Chen;Binbin Huang;Torsten Sattler;Andreas Geiger,2023,Computer Vision,"['Computer Vision', 'Machine Learning']","[0.6666666666666666, 0.3333333333333333]","[-17.91859245300293, -17.605478286743164]"
Andreas Geiger,Informal or Other Publication,CoRR,GraphDreamer: Compositional 3D Scene Synthesis from Scene Graphs.,Gege Gao;Weiyang Liu;Anpei Chen;Andreas Geiger;Bernhard Schölkopf,2023,Computer Vision,['Computer Vision'],[0.75],"[19.596895217895508, 40.10828399658203]"
Andreas Geiger,Conference or Workshop Paper,3DV,Panoptic NeRF: 3D-to-2D Label Transfer for Panoptic Urban Scene Segmentation.,Xiao Fu;Shangzhan Zhang;Tianrun Chen;Yichong Lu;Lanyun Zhu;Xiaowei Zhou;Andreas Geiger;Yiyi Liao,2022,Computer Vision,['Computer Vision'],[1.0],"[46.94484329223633, 27.621877670288086]"
Andreas Geiger,Conference or Workshop Paper,CoRL,PlanT: Explainable Planning Transformers via Object-Level Representations.,Katrin Renz;Kashyap Chitta;Otniel-Bogdan Mercea;A. Sophia Koepke;Zeynep Akata;Andreas Geiger,2022,Computer Vision,"['Computer Vision', 'Robotics', 'Machine Learning']","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[54.72505187988281, 2.371016025543213]"
Andreas Geiger,Conference or Workshop Paper,CVPR,RegNeRF: Regularizing Neural Radiance Fields for View Synthesis from Sparse Inputs.,Michael Niemeyer;Jonathan T. Barron;Ben Mildenhall;Mehdi S. M. Sajjadi;Andreas Geiger;Noha Radwan,2022,Computer Vision,"['Computer Vision', 'Machine Learning']","[0.5, 0.5]","[21.354175567626953, 29.450597763061523]"
Andreas Geiger,Conference or Workshop Paper,CVPR,gDNA: Towards Generative Detailed Neural Avatars.,Xu Chen;Tianjian Jiang;Jie Song;Jinlong Yang;Michael J. Black;Andreas Geiger;Otmar Hilliges,2022,Machine Learning,['Machine Learning'],[1.0],"[23.25023651123047, 55.18920135498047]"
Andreas Geiger,Conference or Workshop Paper,CVPR,PINA: Learning a Personalized Implicit Neural Avatar from a Single RGB-D Video Sequence.,Zijian Dong;Chen Guo;Jie Song;Xu Chen;Andreas Geiger;Otmar Hilliges,2022,Computer Vision,"['Computer Vision', 'Machine Learning']","[0.6, 0.4]","[21.044822692871094, 53.64662170410156]"
